Vial,Date,Run,Well,Sample.Type,Concentration
NA,20190122,1,A1,Standard,2000
NA,20190122,1,A2,Standard,2000
NA,20190122,1,A3,Standard,2000
NA,20190122,1,A4,Standard,1500
NA,20190122,1,A5,Standard,1500
NA,20190122,1,A6,Standard,1500
NA,20190122,1,A7,Standard,1000
NA,20190122,1,A8,Standard,1000
NA,20190122,1,A9,Standard,1000
NA,20190122,1,A10,Standard,750
NA,20190122,1,A11,Standard,750
NA,20190122,1,A12,Standard,750
NA,20190122,1,B1,Standard,500
NA,20190122,1,B2,Standard,500
NA,20190122,1,B3,Standard,500
NA,20190122,1,B4,Standard,250
NA,20190122,1,B5,Standard,250
NA,20190122,1,B6,Standard,250
NA,20190122,1,B7,Standard,125
NA,20190122,1,B8,Standard,125
NA,20190122,1,B9,Standard,125
NA,20190122,1,B10,Standard,25
NA,20190122,1,B11,Standard,25
NA,20190122,1,B12,Standard,25
NA,20190122,1,C1,Blank,0
NA,20190122,1,C2,Blank,0
NA,20190122,1,C3,Blank,0
4,20190122,1,C4,Sample,
4,20190122,1,C5,Sample,
4,20190122,1,C6,Sample,
5,20190122,1,C7,Sample,
5,20190122,1,C8,Sample,
5,20190122,1,C9,Sample,
6,20190122,1,C10,Sample,
6,20190122,1,C11,Sample,
6,20190122,1,C12,Sample,
13,20190122,1,D1,Sample,
13,20190122,1,D2,Sample,
13,20190122,1,D3,Sample,
14,20190122,1,D4,Sample,
14,20190122,1,D5,Sample,
14,20190122,1,D6,Sample,
15,20190122,1,D7,Sample,
15,20190122,1,D8,Sample,
15,20190122,1,D9,Sample,
22,20190122,1,D10,Sample,
22,20190122,1,D11,Sample,
22,20190122,1,D12,Sample,
23,20190122,1,E1,Sample,
23,20190122,1,E2,Sample,
23,20190122,1,E3,Sample,
24,20190122,1,E4,Sample,
24,20190122,1,E5,Sample,
24,20190122,1,E6,Sample,
31,20190122,1,E7,Sample,
31,20190122,1,E8,Sample,
31,20190122,1,E9,Sample,
32,20190122,1,E10,Sample,
32,20190122,1,E11,Sample,
32,20190122,1,E12,Sample,
33,20190122,1,F1,Sample,
33,20190122,1,F2,Sample,
33,20190122,1,F3,Sample,
40,20190122,1,F4,Sample,
40,20190122,1,F5,Sample,
40,20190122,1,F6,Sample,
41,20190122,1,F7,Sample,
41,20190122,1,F8,Sample,
41,20190122,1,F9,Sample,
42,20190122,1,F10,Sample,
42,20190122,1,F11,Sample,
42,20190122,1,F12,Sample,
49,20190122,1,G1,Sample,
49,20190122,1,G2,Sample,
49,20190122,1,G3,Sample,
50,20190122,1,G4,Sample,
50,20190122,1,G5,Sample,
50,20190122,1,G6,Sample,
51,20190122,1,G7,Sample,
51,20190122,1,G8,Sample,
51,20190122,1,G9,Sample,
58,20190122,1,G10,Sample,
58,20190122,1,G11,Sample,
58,20190122,1,G12,Sample,
59,20190122,1,H1,Sample,
59,20190122,1,H2,Sample,
59,20190122,1,H3,Sample,
60,20190122,1,H4,Sample,
60,20190122,1,H5,Sample,
60,20190122,1,H6,Sample,
67,20190122,1,H7,Sample,
67,20190122,1,H8,Sample,
67,20190122,1,H9,Sample,
68,20190122,1,H10,Sample,
68,20190122,1,H11,Sample,
68,20190122,1,H12,Sample,
69,20190122,2,A1,Sample,
69,20190122,2,A2,Sample,
69,20190122,2,A3,Sample,
76,20190122,2,A4,Sample,
76,20190122,2,A5,Sample,
76,20190122,2,A6,Sample,
77,20190122,2,A7,Sample,
77,20190122,2,A8,Sample,
77,20190122,2,A9,Sample,
78,20190122,2,A10,Sample,
78,20190122,2,A11,Sample,
78,20190122,2,A12,Sample,
85,20190122,2,B1,Sample,
85,20190122,2,B2,Sample,
85,20190122,2,B3,Sample,
86,20190122,2,B4,Sample,
86,20190122,2,B5,Sample,
86,20190122,2,B6,Sample,
87,20190122,2,B7,Sample,
87,20190122,2,B8,Sample,
87,20190122,2,B9,Sample,
94,20190122,2,B10,Sample,
94,20190122,2,B11,Sample,
94,20190122,2,B12,Sample,
95,20190122,2,C1,Sample,
95,20190122,2,C2,Sample,
95,20190122,2,C3,Sample,
96,20190122,2,C4,Sample,
96,20190122,2,C5,Sample,
96,20190122,2,C6,Sample,
103,20190122,2,C7,Sample,
103,20190122,2,C8,Sample,
103,20190122,2,C9,Sample,
104,20190122,2,C10,Sample,
104,20190122,2,C11,Sample,
104,20190122,2,C12,Sample,
105,20190122,2,D1,Sample,
105,20190122,2,D2,Sample,
105,20190122,2,D3,Sample,
112,20190122,2,D4,Sample,
112,20190122,2,D5,Sample,
112,20190122,2,D6,Sample,
113,20190122,2,D7,Sample,
