Well,Chl:630,Chl:663,Chl:750
A1,0.305,0.365,0.247
B1,0.244,0.236,0.202
C1,0.294,0.314,0.237
D1,0.264,0.282,0.219
E1,0.26,0.332,0.196
F1,0.309,0.36,0.24
G1,0.245,0.287,0.208
H1,0.37,0.381,0.318
A2,0.319,0.384,0.256
B2,0.256,0.247,0.213
C2,0.305,0.323,0.247
D2,0.165,0.188,0.136
E2,0.197,0.274,0.144
F2,0.275,0.338,0.222
G2,0.303,0.346,0.262
H2,0.333,0.344,0.286
A3,0.351,0.408,0.28
B3,0.26,0.252,0.215
C3,0.264,0.283,0.216
D3,0.128,0.14,0.107
E3,0.29,0.36,0.224
F3,0.287,0.334,0.241
G3,0.258,0.286,0.218
H3,0.389,0.405,0.365
A4,0.353,0.415,0.282
B4,0.256,0.253,0.218
C4,0.219,0.244,0.182
D4,0.121,0.134,0.103
E4,0.18,0.261,0.133
F4,0.204,0.259,0.167
G4,0.312,0.343,0.258
H4,0.216,0.23,0.193
A5,0.219,0.297,0.167
B5,0.228,0.221,0.188
C5,0.229,0.262,0.191
D5,0.104,0.114,0.087
E5,0.138,0.218,0.098
F5,0.391,0.438,0.325
G5,0.157,0.188,0.127
H5,0.246,0.256,0.201
A6,0.266,0.345,0.207
B6,0.209,0.205,0.172
C6,0.215,0.252,0.181
D6,0.056,0.07,0.049
E6,0.126,0.211,0.088
F6,0.156,0.214,0.123
G6,0.424,0.446,0.361
H6,0.228,0.256,0.202
A7,0.082,0.091,0.071
B7,0.247,0.281,0.197
C7,0.123,0.172,0.092
D7,0.191,0.197,0.157
E7,0.123,0.181,0.092
F7,0.088,0.109,0.076
G7,0.327,0.38,0.264
H7,0.03,0.03,0.03
A8,0.084,0.093,0.073
B8,0.173,0.216,0.14
C8,0.081,0.131,0.059
D8,0.07,0.086,0.059
E8,0.138,0.199,0.106
F8,0.081,0.101,0.068
G8,0.352,0.399,0.284
H8,0.03,0.03,0.03
A9,0.091,0.099,0.078
B9,0.128,0.172,0.105
C9,0.105,0.148,0.083
D9,0.075,0.09,0.063
E9,0.143,0.201,0.108
F9,0.076,0.1,0.065
G9,0.207,0.29,0.167
H9,0.028,0.028,0.028
A10,0.087,0.099,0.075
B10,0.129,0.174,0.104
C10,0.098,0.14,0.076
D10,0.066,0.082,0.055
E10,0.109,0.17,0.08
F10,0.088,0.109,0.072
G10,0.199,0.287,0.159
H10,0.029,0.03,0.03
A11,0.093,0.1,0.08
B11,0.128,0.168,0.105
C11,0.128,0.175,0.101
D11,0.068,0.083,0.057
E11,0.115,0.171,0.085
F11,0.072,0.092,0.06
G11,0.197,0.257,0.16
H11,0.028,0.028,0.028
A12,0.085,0.094,0.073
B12,0.139,0.179,0.115
C12,0.172,0.216,0.136
D12,0.063,0.078,0.053
E12,0.109,0.165,0.076
F12,0.074,0.092,0.061
G12,0.173,0.237,0.14
H12,0.043,0.043,0.043
