Well,Chl:630,Chl:663,Chl:750
A1,0.14,0.24,0.095
B1,0.196,0.269,0.152
C1,0.206,0.228,0.17
D1,0.199,0.263,0.152
E1,0.159,0.194,0.127
F1,0.134,0.198,0.101
G1,0.136,0.18,0.11
H1,0.112,0.148,0.087
A2,0.164,0.274,0.111
B2,0.314,0.387,0.249
C2,0.274,0.296,0.226
D2,0.304,0.369,0.233
E2,0.266,0.301,0.212
F2,0.122,0.192,0.091
G2,0.206,0.25,0.165
H2,0.102,0.146,0.081
A3,0.18,0.317,0.119
B3,0.166,0.237,0.127
C3,0.147,0.187,0.12
D3,0.271,0.346,0.211
E3,0.092,0.127,0.072
F3,0.18,0.248,0.143
G3,0.112,0.147,0.091
H3,0.161,0.205,0.127
A4,0.312,0.452,0.224
B4,0.148,0.225,0.11
C4,0.156,0.198,0.128
D4,0.147,0.232,0.105
E4,0.099,0.135,0.075
F4,0.15,0.223,0.117
G4,0.166,0.202,0.14
H4,0.183,0.23,0.142
A5,0.242,0.37,0.176
B5,0.139,0.21,0.103
C5,0.156,0.188,0.131
D5,0.165,0.247,0.123
E5,0.098,0.135,0.079
F5,0.137,0.202,0.106
G5,0.163,0.195,0.133
H5,0.232,0.261,0.178
A6,0.271,0.406,0.198
B6,0.226,0.302,0.177
C6,0.152,0.184,0.127
D6,0.129,0.215,0.088
E6,0.11,0.149,0.088
F6,0.14,0.208,0.108
G6,0.265,0.294,0.215
H6,0.146,0.185,0.115
A7,0.251,0.26,0.207
B7,0.449,0.528,0.371
C7,0.163,0.202,0.136
D7,0.132,0.159,0.111
E7,0.207,0.263,0.165
F7,0.21,0.255,0.17
G7,0.109,0.15,0.086
H7,0.304,0.347,0.256
A8,0.116,0.132,0.096
B8,0.33,0.419,0.267
C8,0.346,0.374,0.283
D8,0.137,0.166,0.115
E8,0.199,0.261,0.158
F8,0.172,0.224,0.14
G8,0.096,0.141,0.074
H8,0.457,0.5,0.393
A9,0.193,0.209,0.167
B9,0.324,0.395,0.262
C9,0.188,0.223,0.157
D9,0.181,0.207,0.155
E9,0.223,0.276,0.183
F9,0.157,0.209,0.131
G9,0.093,0.129,0.076
H9,0.236,0.269,0.2
A10,0.191,0.206,0.161
B10,0.358,0.431,0.292
C10,0.13,0.168,0.106
D10,0.366,0.389,0.324
E10,0.178,0.238,0.142
F10,0.173,0.227,0.142
G10,0.258,0.29,0.221
H10,0.291,0.334,0.252
A11,0.159,0.174,0.135
B11,0.322,0.389,0.266
C11,0.348,0.375,0.289
D11,0.218,0.243,0.181
E11,0.186,0.236,0.146
F11,0.208,0.254,0.176
G11,0.142,0.175,0.114
H11,0.131,0.174,0.11
A12,0.309,0.316,0.254
B12,0.381,0.452,0.319
C12,0.215,0.252,0.177
D12,0.301,0.325,0.251
E12,0.168,0.227,0.133
F12,0.23,0.28,0.193
G12,0.134,0.172,0.112
H12,0.332,0.362,0.272
