Well,Chl:630,Chl:663,Chl:750
A1,0.086,0.126,0.081
B1,0.045,0.05,0.053
C1,0.03,0.029,0.029
D1,0.03,0.03,0.03
E1,0.035,0.034,0.034
F1,0.031,0.031,0.031
G1,0.029,0.029,0.029
H1,0.032,0.032,0.032
A2,0.075,0.091,0.063
B2,0.037,0.037,0.037
C2,0.03,0.03,0.029
D2,0.03,0.03,0.03
E2,0.033,0.033,0.033
F2,0.032,0.032,0.032
G2,0.032,0.033,0.032
H2,0.035,0.034,0.034
A3,0.066,0.082,0.057
B3,0.034,0.034,0.033
C3,0.03,0.03,0.03
D3,0.032,0.032,0.032
E3,0.031,0.03,0.03
F3,0.039,0.039,0.039
G3,0.029,0.029,0.029
H3,0.04,0.039,0.039
A4,0.072,0.071,0.047
B4,0.032,0.031,0.031
C4,0.031,0.031,0.031
D4,0.037,0.031,0.031
E4,0.029,0.029,0.029
F4,0.029,0.029,0.029
G4,0.029,0.029,0.029
H4,0.029,0.029,0.029
A5,0.069,0.083,0.055
B5,0.031,0.031,0.032
C5,0.03,0.03,0.029
D5,0.033,0.033,0.033
E5,0.032,0.032,0.032
F5,0.026,0.026,0.025
G5,0.03,0.03,0.03
H5,0.031,0.03,0.03
A6,0.088,0.104,0.075
B6,0.034,0.033,0.033
C6,0.031,0.031,0.031
D6,0.032,0.032,0.032
E6,0.03,0.03,0.029
F6,0.039,0.039,0.038
G6,0.03,0.03,0.03
H6,0.03,0.03,0.03
A7,0.046,0.056,0.042
B7,0.035,0.035,0.034
C7,0.035,0.035,0.035
D7,0.032,0.031,0.031
E7,0.041,0.04,0.04
F7,0.053,0.053,0.052
G7,0.03,0.03,0.03
H7,0.03,0.03,0.03
A8,0.049,0.061,0.043
B8,0.03,0.03,0.03
C8,0.032,0.032,0.032
D8,0.029,0.028,0.028
E8,0.03,0.03,0.03
F8,0.034,0.034,0.034
G8,0.029,0.029,0.029
H8,0.031,0.031,0.031
A9,0.056,0.068,0.049
B9,0.035,0.034,0.034
C9,0.041,0.041,0.04
D9,0.034,0.034,0.033
E9,0.035,0.035,0.035
F9,0.032,0.031,0.031
G9,0.032,0.031,0.031
H9,0.029,0.029,0.029
A10,0.077,0.098,0.066
B10,0.031,0.031,0.031
C10,0.032,0.032,0.032
D10,0.029,0.028,0.028
E10,0.03,0.03,0.03
F10,0.043,0.043,0.042
G10,0.029,0.029,0.029
H10,0.03,0.029,0.033
A11,0.104,0.125,0.08
B11,0.031,0.031,0.031
C11,0.035,0.035,0.036
D11,0.035,0.035,0.034
E11,0.043,0.043,0.043
F11,0.037,0.037,0.037
G11,0.032,0.032,0.032
H11,0.029,0.029,0.029
A12,0.107,0.131,0.091
B12,0.036,0.036,0.035
C12,0.037,0.036,0.036
D12,0.034,0.034,0.033
E12,0.033,0.033,0.033
F12,0.032,0.032,0.032
G12,0.039,0.039,0.038
H12,0.042,0.041,0.041
