Date,Fragment.ID,Chamber.Channel,Position,RUN,Origin,Treatment,Timepoint,Chamber.Vol.mL,Surf.Area.cm2
20170702,AMB-B1,,,,Blank,Blank,T1,21005,
20170702,AMB-B2,,,,Blank,Blank,T1,21005,
20170702,P-7,,,,Patch,Ambient,T1,19735,463.8253968
20170702,P-8,,,,Patch,Ambient,T1,20213,298.5079365
20170702,P-10,,,,Patch,Ambient,T1,20465,233.1904762
20170702,P-12,,,,Patch,Ambient,T1,19769,560.6507937
20170702,P-18,,,,Patch,Ambient,T1,20405,357.4761905
20170702,R-3,,,,Rim,Ambient,T1,20631,222.3968254
20170702,R-5,,,,Rim,Ambient,T1,20579,252.7142857
20170702,R-12,,,,Rim,Ambient,T1,20577,173.1111111
20170702,R-13,,,,Rim,Ambient,T1,20683,167.2380952
20170702,R-16,,,,Rim,Ambient,T1,20307,190.8095238
