Date,Fragment.ID,Chamber.Channel,Position,Genotype,Treatment,Light.Level,Chamber.Vol.mL,Light
20170621,TA2_1,1,,TA,Ambient,0,584,0
20170621,TA4_1,3,,TA,Ambient,0,580,0
20170621,TA5_1,4,,TA,Ambient,0,572,0
20170621,TA6_1,5,,TA,Ambient,0,570,0
20170621,TA7_1,8,,TA,Ambient,0,578,0
20170621,TA8_1,6,,TA,Ambient,0,588,0
20170621,TA9_1,9,,TA,Ambient,0,590,0
20170621,TA10_1,10,,TA,Ambient,0,582,0
20170621,TA2_2,1,,TA,Ambient,15,584,94
20170621,TA4_2,3,,TA,Ambient,15,580,58
20170621,TA5_2,4,,TA,Ambient,15,572,69
20170621,TA6_2,5,,TA,Ambient,15,570,52
20170621,TA7_2,8,,TA,Ambient,15,578,77
20170621,TA8_2,6,,TA,Ambient,15,588,68
20170621,TA9_2,9,,TA,Ambient,15,590,52
20170621,TA10_2,10,,TA,Ambient,15,582,58
20170621,TA2_3,1,,TA,Ambient,30,584,173
20170621,TA4_3,3,,TA,Ambient,30,580,111
20170621,TA5_3,4,,TA,Ambient,30,572,128
20170621,TA6_3,5,,TA,Ambient,30,570,91
20170621,TA7_3,8,,TA,Ambient,30,578,150
20170621,TA8_3,6,,TA,Ambient,30,588,127
20170621,TA9_3,9,,TA,Ambient,30,590,93
20170621,TA10_3,10,,TA,Ambient,30,582,110
20170621,TA2_4,1,,TA,Ambient,50,584,259
20170621,TA4_4,3,,TA,Ambient,50,580,170
20170621,TA5_4,4,,TA,Ambient,50,572,199
20170621,TA6_4,5,,TA,Ambient,50,570,145
20170621,TA7_4,8,,TA,Ambient,50,578,235
20170621,TA8_4,6,,TA,Ambient,50,588,205
20170621,TA9_4,9,,TA,Ambient,50,590,152
20170621,TA10_4,10,,TA,Ambient,50,582,162
20170621,TA2_5,1,,TA,Ambient,65,584,348
20170621,TA4_5,3,,TA,Ambient,65,580,214
20170621,TA5_5,4,,TA,Ambient,65,572,251
20170621,TA6_5,5,,TA,Ambient,65,570,180
20170621,TA7_5,8,,TA,Ambient,65,578,300
20170621,TA8_5,6,,TA,Ambient,65,588,259
20170621,TA9_5,9,,TA,Ambient,65,590,181
20170621,TA10_5,10,,TA,Ambient,65,582,207
20170621,TA2_6,1,,TA,Ambient,85,584,431
20170621,TA4_6,3,,TA,Ambient,85,580,264
20170621,TA5_6,4,,TA,Ambient,85,572,309
20170621,TA6_6,5,,TA,Ambient,85,570,220
20170621,TA7_6,8,,TA,Ambient,85,578,377
20170621,TA8_6,6,,TA,Ambient,85,588,324
20170621,TA9_6,9,,TA,Ambient,85,590,245
20170621,TA10_6,10,,TA,Ambient,85,582,264
20170621,TA2_7,1,,TA,Ambient,100,584,497
20170621,TA4_7,3,,TA,Ambient,100,580,320
20170621,TA5_7,4,,TA,Ambient,100,572,365
20170621,TA6_7,5,,TA,Ambient,100,570,250
20170621,TA7_7,8,,TA,Ambient,100,578,374
20170621,TA8_7,6,,TA,Ambient,100,588,374
20170621,TA9_7,9,,TA,Ambient,100,590,267
20170621,TA10_7,10,,TA,Ambient,100,582,298
20170621,AmbB1_1,2,,Blank,Ambient,0,620,0
20170621,AmbB1_2,2,,Blank,Ambient,15,620,88
20170621,AmbB1_3,2,,Blank,Ambient,30,620,162
20170621,AmbB1_4,2,,Blank,Ambient,50,620,255
20170621,AmbB1_5,2,,Blank,Ambient,65,620,321
20170621,AmbB1_6,2,,Blank,Ambient,85,620,396
20170621,AmbB1_7,2,,Blank,Ambient,100,620,465
20170621,AmbB2_1,7,,Blank,Ambient,0,620,0
20170621,AmbB2_2,7,,Blank,Ambient,15,620,68
20170621,AmbB2_3,7,,Blank,Ambient,30,620,127
20170621,AmbB2_4,7,,Blank,Ambient,50,620,197
20170621,AmbB2_5,7,,Blank,Ambient,65,620,251
20170621,AmbB2_6,7,,Blank,Ambient,85,620,326
20170621,AmbB2_7,7,,Blank,Ambient,100,620,373
