"PreSens Measurement Studio 2","1.1.2.0",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"07/28/2017","11:47:14","1","default","27475339","OXY_CH1","0.000","min","134.672","µmol/L","Humid","20.385","deg","89297","µV","31.739","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","363190.44","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:15","1","default","27475339","OXY_CH1","0.023","min","134.550","µmol/L","Humid","20.388","deg","89282","µV","31.760","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","363142.33","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:16","1","default","27475339","OXY_CH1","0.041","min","134.576","µmol/L","Humid","20.391","deg","89255","µV","31.744","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","363097.23","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:17","1","default","27475339","OXY_CH1","0.056","min","134.686","µmol/L","Humid","20.387","deg","89256","µV","31.729","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","363074.06","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:18","1","default","27475339","OXY_CH1","0.073","min","134.647","µmol/L","Humid","20.389","deg","89239","µV","31.733","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","363053.51","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:19","1","default","27475339","OXY_CH1","0.090","min","134.531","µmol/L","Humid","20.393","deg","89237","µV","31.749","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","363046.54","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:20","1","default","27475339","OXY_CH1","0.107","min","134.584","µmol/L","Humid","20.391","deg","89225","µV","31.742","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","363010.50","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:21","1","default","27475339","OXY_CH1","0.123","min","134.549","µmol/L","Humid","20.394","deg","89228","µV","31.742","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","363003.47","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:22","1","default","27475339","OXY_CH1","0.140","min","134.578","µmol/L","Humid","20.392","deg","89222","µV","31.741","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","363004.38","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:23","1","default","27475339","OXY_CH1","0.157","min","134.605","µmol/L","Humid","20.392","deg","89211","µV","31.734","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","363005.88","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:24","1","default","27475339","OXY_CH1","0.173","min","134.525","µmol/L","Humid","20.397","deg","89205","µV","31.739","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","362991.57","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:25","1","default","27475339","OXY_CH1","0.190","min","134.598","µmol/L","Humid","20.392","deg","89208","µV","31.736","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","362985.28","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
"07/28/2017","11:47:26","1","default","27475339","OXY_CH1","0.206","min","134.490","µmol/L","Humid","20.393","deg","89192","µV","31.759","°C","1016.000","hPa","36.0","pmil","0","55.520","deg","20.000","°C","203.200","µmol/L","21.750","deg","20.000","°C","977.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","24.85","0","70.00","362971.72","SABD0000000001","AAV1.0.0.11","1.1.2.0","PSt7-10","170328-006","6/20/2017 6:36:17 PM","0000-00","0","no battery","V"
