Sum of total.plan,Column Labels,,,,,,,,,,,,,,
Row Labels,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,(blank),Grand Total
P1,48,539,1028,192,0,11,0,0,1,0,0,0,0,,1819
P10,0,0,488,1443,1781,342,0,28,23,142,169,0,0,,4416
P11,212,201,517,85,41,0,0,0,18,0,0,0,0,,1074
P12,1546,63,7,0,33,0,0,0,0,0,0,0,0,,1649
P13,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
P14,949,302,5,0,10,0,0,0,0,0,0,0,0,,1266
P15,0,498,5,1,22,0,0,0,5,0,0,0,0,,531
P16,167,149,3417,0,0,0,0,0,0,0,0,0,0,,3733
P17,904,1584,587,0,23,0,0,0,0,0,0,0,0,,3098
P18,0,940,67,0,0,3,0,0,1,0,0,0,0,,1011
P19,2053,680,500,0,32,0,0,0,0,0,0,0,0,,3265
P2,278,0,446,0,252,0,0,0,0,0,0,0,0,,976
P20,24,94,618,0,11,1,0,0,1,0,0,0,0,,749
P3,0,309,1107,700,2235,122,0,1,1,1,0,0,0,,4476
P4,0,211,0,0,0,0,0,0,0,0,0,0,0,,211
P5,177,0,1077,0,0,0,0,0,0,0,0,0,0,,1254
P6,109,0,30,0,0,0,0,0,0,0,0,0,0,,139
P7,29,1341,0,44,0,0,0,0,0,0,0,0,0,,1414
P8,0,0,0,6,0,0,0,0,0,0,0,0,0,,6
P9,0,0,17,0,0,0,0,0,0,0,0,0,0,,17
R1,0,110,26,0,0,0,1,0,2,0,0,0,0,,139
R10,0,0,0,37,0,0,0,0,0,99,0,0,0,,136
R11,0,0,0,0,0,0,0,0,4,0,0,0,0,,4
R12,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
R13,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
R14,0,0,0,0,0,0,0,0,2,0,0,0,0,,2
R15,0,0,0,0,0,0,9,0,4,0,0,0,0,,13
R16,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
R17,0,0,0,0,0,0,0,0,2,0,0,0,0,,2
R18,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
R19,0,0,0,0,0,0,5,0,1,0,0,0,0,,6
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
R20,0,0,0,0,0,0,4,0,3,0,0,0,0,,7
R3,124,384,817,0,0,0,0,0,0,0,0,0,0,,1325
R4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
R5,0,69,0,0,0,0,0,0,0,0,0,0,0,,69
R6,30,0,0,0,0,0,12,0,0,0,0,0,0,,42
R7,46,53,34,807,1107,34,408,142,510,0,0,79,0,,3220
R8,0,0,59,39,0,0,0,0,0,0,0,0,0,,98
R9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
(blank),,,,,,,,,,,,,,,
Grand Total,6696,7527,10852,3354,5547,513,439,171,578,242,169,79,0,,36167
