Date of Patch_HOToto,Date.Release,lunar.day,Colony,Timepoint,Treatment.1,Treatment.2,treat.zone,Treat.zone.2,Reef,Larval_No,Length_1,Width_1,Volume_1,Length_2,Width_2,Shape_class
20170713,20170713,-10,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.671,0.649,0.15597426,0.671,0.649,Circular
20170713,20170713,-10,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.59,0.549,0.08629134,0.59,0.549,Circular
20170713,20170713,-10,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.737,0.701,0.219527793,0.737,0.701,Circular
20170713,20170713,-10,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.729,0.73,0.232926701,0.729,0.73,Circular
20170713,20170713,-10,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.671,0.589,0.128467753,0.671,0.589,Circular
20170713,20170713,-10,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.895,0.682,0.306431438,0.895,0.682,Circular
20170713,20170713,-10,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.732,0.577,0.146721003,0.732,0.577,Circular
20170713,20170713,-10,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.602,0.6,0.107303523,0.602,0.6,Circular
20170713,20170713,-10,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.609,0.595,0.107990864,0.609,0.595,Circular
20170713,20170713,-10,P1,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.753,0.69,0.222027431,0.753,0.69,Circular
20170713,20170713,-10,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.96,0.882,0.589655204,0.96,0.882,Circular
20170713,20170713,-10,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.64,0.545,0.100062524,0.64,0.545,Circular
20170713,20170713,-10,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.816,0.367,0.073761705,0.816,0.367,Pear
20170713,20170713,-10,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.792,0.773,0.308267578,0.792,0.773,Circular
20170713,20170713,-10,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.565,0.57,0.085303157,0.565,0.57,Circular
20170713,20170713,-10,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,1.021,0.507,0.220386964,1.021,0.507,Pear
20170713,20170713,-10,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.613,0.48,0.071206874,0.613,0.48,Circular
20170713,20170713,-10,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.885,0.797,0.409186864,0.885,0.797,Circular
20170713,20170713,-10,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,1.326,0.474,0.324909366,1.326,0.474,Pear
20170713,20170713,-10,P2,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,1.236,0.511,0.328093209,1.236,0.511,Pear
20170713,20170713,-10,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.954,0.924,0.639085834,0.954,0.924,Circular
20170713,20170713,-10,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,1.045,0.549,0.270704683,1.045,0.549,Pear
20170713,20170713,-10,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,1.022,0.69,0.408995446,1.022,0.69,Circular
20170713,20170713,-10,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.842,0.852,0.423274272,0.842,0.852,Circular
