coral.id,treatment,reef.zone
P1,Ambient,Patch
P2,Ambient,Patch
P3,Ambient,Patch
P4,Ambient,Patch
P5,Ambient,Patch
P6,Ambient,Patch
P7,Ambient,Patch
P8,Ambient,Patch
P9,Ambient,Patch
P10,Ambient,Patch
P11,Hot,Patch
P12,Hot,Patch
P13,Hot,Patch
P14,Hot,Patch
P15,Hot,Patch
P16,Hot,Patch
P17,Hot,Patch
P18,Hot,Patch
P19,Hot,Patch
P20,Hot,Patch
R1,Ambient,Rim
R2,Ambient,Rim
R3,Ambient,Rim
R4,Ambient,Rim
R5,Ambient,Rim
R6,Ambient,Rim
R7,Ambient,Rim
R8,Ambient,Rim
R9,Ambient,Rim
R10,Ambient,Rim
R11,Hot,Rim
R12,Hot,Rim
R13,Hot,Rim
R14,Hot,Rim
R15,Hot,Rim
R16,Hot,Rim
R17,Hot,Rim
R18,Hot,Rim
R19,Hot,Rim
R20,Hot,Rim
