Vial,Date,Run,Well,Sample.Type,Concentration,abs,DL1
NA,20181120,1,A1,Standard,2000,1.866,NA
NA,20181120,1,A2,Standard,2000,1.848,NA
NA,20181120,1,A3,Standard,2000,1.911,NA
NA,20181120,1,A4,Standard,1500,1.478,NA
NA,20181120,1,A5,Standard,1500,1.521,NA
NA,20181120,1,A6,Standard,1500,1.433,NA
NA,20181120,1,A7,Standard,1000,1.012,NA
NA,20181120,1,A8,Standard,1000,1.037,NA
NA,20181120,1,A9,Standard,1000,0.94,NA
NA,20181120,1,A10,Standard,750,0.785,NA
NA,20181120,1,A11,Standard,750,0.855,NA
NA,20181120,1,A12,Standard,750,0.912,NA
NA,20181120,1,B1,Standard,500,0.624,NA
NA,20181120,1,B2,Standard,500,0.642,NA
NA,20181120,1,B3,Standard,500,0.641,NA
NA,20181120,1,B4,Standard,250,0.361,NA
NA,20181120,1,B5,Standard,250,0.362,NA
NA,20181120,1,B6,Standard,250,0.356,NA
NA,20181120,1,B7,Standard,125,0.225,NA
NA,20181120,1,B8,Standard,125,0.227,NA
NA,20181120,1,B9,Standard,125,0.231,NA
NA,20181120,1,B10,Standard,25,0.1,NA
NA,20181120,1,B11,Standard,25,0.107,NA
NA,20181120,1,B12,Standard,25,0.108,NA
NA,20181120,1,C1,Standard,0,0.08,NA
NA,20181120,1,C2,Standard,0,0.079,NA
NA,20181120,1,C3,Standard,0,0.078,NA
31,20181120,1,C4,Sample,,0.235,4
31,20181120,1,C5,Sample,,0.241,4
31,20181120,1,C6,Sample,,0.226,4
33,20181120,1,C7,Sample,,0.229,4
33,20181120,1,C8,Sample,,0.229,4
33,20181120,1,C9,Sample,,0.232,4
34,20181120,1,C10,Sample,,0.552,4
34,20181120,1,C11,Sample,,0.545,4
34,20181120,1,C12,Sample,,0.552,4
35,20181120,1,D1,Sample,,0.322,4
35,20181120,1,D2,Sample,,0.299,4
35,20181120,1,D3,Sample,,0.3,4
37,20181120,1,D4,Sample,,0.392,4
37,20181120,1,D5,Sample,,0.401,4
37,20181120,1,D6,Sample,,0.423,4
38,20181120,1,D7,Sample,,0.44,4
38,20181120,1,D8,Sample,,0.475,4
38,20181120,1,D9,Sample,,0.49,4
43,20181120,1,D10,Sample,,0.424,4
43,20181120,1,D11,Sample,,0.473,4
43,20181120,1,D12,Sample,,0.477,4
44,20181120,1,E1,Sample,,0.431,4
44,20181120,1,E2,Sample,,0.439,4
44,20181120,1,E3,Sample,,0.417,4
46,20181120,1,E4,Sample,,0.268,4
46,20181120,1,E5,Sample,,0.3,4
46,20181120,1,E6,Sample,,0.291,4
47,20181120,1,E7,Sample,,0.224,4
47,20181120,1,E8,Sample,,0.25,4
47,20181120,1,E9,Sample,,0.249,4
49,20181120,1,E10,Sample,,0.319,4
49,20181120,1,E11,Sample,,0.356,4
49,20181120,1,E12,Sample,,0.348,4
50,20181120,1,F1,Sample,,0.369,4
50,20181120,1,F2,Sample,,0.382,4
50,20181120,1,F3,Sample,,0.379,4
52,20181120,1,F4,Sample,,0.166,4
52,20181120,1,F5,Sample,,0.165,4
52,20181120,1,F6,Sample,,0.185,4
NA,20181120,1,F7,NA,,NA,NA
NA,20181120,1,F8,NA,,NA,NA
NA,20181120,1,F9,NA,,NA,NA
NA,20181120,1,F10,NA,,NA,NA
NA,20181120,1,F11,NA,,NA,NA
NA,20181120,1,F12,NA,,NA,NA
NA,20181120,1,G1,NA,,NA,NA
NA,20181120,1,G2,NA,,NA,NA
NA,20181120,1,G3,NA,,NA,NA
NA,20181120,1,G4,NA,,NA,NA
NA,20181120,1,G5,NA,,NA,NA
NA,20181120,1,G6,NA,,NA,NA
NA,20181120,1,G7,NA,,NA,NA
NA,20181120,1,G8,NA,,NA,NA
NA,20181120,1,G9,NA,,NA,NA
NA,20181120,1,G10,NA,,NA,NA
NA,20181120,1,G11,NA,,NA,NA
NA,20181120,1,G12,NA,,NA,NA
NA,20181120,1,H1,NA,,NA,NA
NA,20181120,1,H2,NA,,NA,NA
NA,20181120,1,H3,NA,,NA,NA
NA,20181120,1,H4,NA,,NA,NA
NA,20181120,1,H5,NA,,NA,NA
NA,20181120,1,H6,NA,,NA,NA
NA,20181120,1,H7,NA,,NA,NA
NA,20181120,1,H8,NA,,NA,NA
NA,20181120,1,H9,NA,,NA,NA
NA,20181120,1,H10,NA,,NA,NA
NA,20181120,1,H11,NA,,NA,NA
NA,20181120,1,H12,NA,,NA,NA
NA,20181121,2,A1,Standard,2000,1.822,NA
NA,20181121,2,A2,Standard,2000,1.689,NA
NA,20181121,2,A3,Standard,2000,1.731,NA
NA,20181121,2,A4,Standard,1500,1.339,NA
NA,20181121,2,A5,Standard,1500,1.492,NA
NA,20181121,2,A6,Standard,1500,1.488,NA
NA,20181121,2,A7,Standard,1000,0.997,NA
NA,20181121,2,A8,Standard,1000,1.1,NA
NA,20181121,2,A9,Standard,1000,1.1073,NA
NA,20181121,2,A10,Standard,750,0.846,NA
NA,20181121,2,A11,Standard,750,0.783,NA
NA,20181121,2,A12,Standard,750,0.898,NA
NA,20181121,2,B1,Standard,500,0.609,NA
NA,20181121,2,B2,Standard,500,0.635,NA
NA,20181121,2,B3,Standard,500,0.639,NA
NA,20181121,2,B4,Standard,250,0.343,NA
NA,20181121,2,B5,Standard,250,0.365,NA
NA,20181121,2,B6,Standard,250,0.382,NA
NA,20181121,2,B7,Standard,125,0.22,NA
NA,20181121,2,B8,Standard,125,0.24,NA
NA,20181121,2,B9,Standard,125,0.234,NA
NA,20181121,2,B10,Standard,25,0.103,NA
NA,20181121,2,B11,Standard,25,0.104,NA
NA,20181121,2,B12,Standard,25,0.104,NA
NA,20181121,2,C1,Standard,0,0.076,NA
NA,20181121,2,C2,Standard,0,0.075,NA
NA,20181121,2,C3,Standard,0,0.076,NA
53,20181121,2,C4,Sample,,0.129,4
53,20181121,2,C5,Sample,,0.139,4
53,20181121,2,C6,Sample,,0.139,4
55,20181121,2,C7,Sample,,0.238,4
55,20181121,2,C8,Sample,,0.26,4
55,20181121,2,C9,Sample,,0.257,4
56,20181121,2,C10,Sample,,0.23,4
56,20181121,2,C11,Sample,,0.252,4
56,20181121,2,C12,Sample,,0.251,4
58,20181121,2,D1,Sample,,0.216,4
58,20181121,2,D2,Sample,,0.206,4
58,20181121,2,D3,Sample,,0.226,4
59,20181121,2,D4,Sample,,0.222,4
59,20181121,2,D5,Sample,,0.272,4
59,20181121,2,D6,Sample,,0.274,4
94,20181121,2,D7,Sample,,0.222,4
94,20181121,2,D8,Sample,,0.21,4
94,20181121,2,D9,Sample,,0.232,4
95,20181121,2,D10,Sample,,0.224,4
95,20181121,2,D11,Sample,,0.276,4
95,20181121,2,D12,Sample,,0.243,4
97,20181121,2,E1,Sample,,0.324,4
97,20181121,2,E2,Sample,,0.348,4
97,20181121,2,E3,Sample,,0.332,4
98,20181121,2,E4,Sample,,0.295,4
98,20181121,2,E5,Sample,,0.327,4
98,20181121,2,E6,Sample,,0.327,4
100,20181121,2,E7,Sample,,0.283,4
100,20181121,2,E8,Sample,,0.306,4
100,20181121,2,E9,Sample,,0.285,4
101,20181121,2,E10,Sample,,0.286,4
101,20181121,2,E11,Sample,,0.306,4
101,20181121,2,E12,Sample,,0.317,4
103,20181121,2,F1,Sample,,0.363,4
103,20181121,2,F2,Sample,,0.361,4
103,20181121,2,F3,Sample,,0.365,4
104,20181121,2,F4,Sample,,0.316,4
104,20181121,2,F5,Sample,,0.349,4
104,20181121,2,F6,Sample,,0.331,4
106,20181121,2,F7,Sample,,0.248,4
106,20181121,2,F8,Sample,,0.269,4
106,20181121,2,F9,Sample,,0.234,4
107,20181121,2,F10,Sample,,0.242,4
107,20181121,2,F11,Sample,,0.253,4
107,20181121,2,F12,Sample,,0.268,4
109,20181121,2,G1,Sample,,0.202,4
109,20181121,2,G2,Sample,,0.214,4
109,20181121,2,G3,Sample,,0.214,4
110,20181121,2,G4,Sample,,0.34,4
110,20181121,2,G5,Sample,,0.299,4
110,20181121,2,G6,Sample,,0.3,4
112,20181121,2,G7,Sample,,0.195,4
112,20181121,2,G8,Sample,,0.21,4
112,20181121,2,G9,Sample,,0.208,4
113,20181121,2,G10,Sample,,0.245,4
113,20181121,2,G11,Sample,,0.266,4
113,20181121,2,G12,Sample,,0.267,4
115,20181121,2,H1,Sample,,0.287,4
115,20181121,2,H2,Sample,,0.294,4
115,20181121,2,H3,Sample,,0.304,4
116,20181121,2,H4,Sample,,0.283,4
116,20181121,2,H5,Sample,,0.274,4
116,20181121,2,H6,Sample,,0.309,4
118,20181121,2,H7,Sample,,0.224,4
118,20181121,2,H8,Sample,,0.191,4
118,20181121,2,H9,Sample,,0.193,4
119,20181121,2,H10,Sample,,0.247,4
119,20181121,2,H11,Sample,,0.25,4
119,20181121,2,H12,Sample,,0.259,4
121,20181121,3,C4,Sample,,0.199,4
121,20181121,3,C5,Sample,,0.211,4
121,20181121,3,C6,Sample,,0.213,4
122,20181121,3,C7,Sample,,0.194,4
122,20181121,3,C8,Sample,,0.2,4
122,20181121,3,C9,Sample,,0.201,4
127,20181121,3,C10,Sample,,0.156,4
127,20181121,3,C11,Sample,,0.159,4
127,20181121,3,C12,Sample,,0.159,4
128,20181121,3,D1,Sample,,0.242,4
128,20181121,3,D2,Sample,,0.255,4
128,20181121,3,D3,Sample,,0.239,4
130,20181121,3,D4,Sample,,0.416,4
130,20181121,3,D5,Sample,,0.448,4
130,20181121,3,D6,Sample,,0.442,4
131,20181121,3,D7,Sample,,0.401,4
131,20181121,3,D8,Sample,,0.428,4
131,20181121,3,D9,Sample,,0.419,4
133,20181121,3,D10,Sample,,0.35,4
133,20181121,3,D11,Sample,,0.384,4
133,20181121,3,D12,Sample,,0.399,4
134,20181121,3,E1,Sample,,0.252,4
134,20181121,3,E2,Sample,,0.258,4
134,20181121,3,E3,Sample,,0.27,4
136,20181121,3,E4,Sample,,0.265,4
136,20181121,3,E5,Sample,,0.293,4
136,20181121,3,E6,Sample,,0.297,4
137,20181121,3,E7,Sample,,0.254,4
137,20181121,3,E8,Sample,,0.254,4
137,20181121,3,E9,Sample,,0.254,4
139,20181121,3,E10,Sample,,0.225,4
139,20181121,3,E11,Sample,,0.238,4
139,20181121,3,E12,Sample,,0.243,4
140,20181121,3,F1,Sample,,0.3,4
140,20181121,3,F2,Sample,,0.306,4
140,20181121,3,F3,Sample,,0.317,4
142,20181121,3,F4,Sample,,0.239,4
142,20181121,3,F5,Sample,,0.26,4
142,20181121,3,F6,Sample,,0.261,4
143,20181121,3,F7,Sample,,0.229,4
143,20181121,3,F8,Sample,,0.219,4
143,20181121,3,F9,Sample,,0.241,4
145,20181121,3,F10,Sample,,0.5,4
145,20181121,3,F11,Sample,,0.501,4
145,20181121,3,F12,Sample,,0.493,4
146,20181121,3,G1,Sample,,0.479,4
146,20181121,3,G2,Sample,,0.515,4
146,20181121,3,G3,Sample,,0.524,4
148,20181121,3,G4,Sample,,0.24,4
148,20181121,3,G5,Sample,,0.285,4
148,20181121,3,G6,Sample,,0.275,4
149,20181121,3,G7,Sample,,0.263,4
149,20181121,3,G8,Sample,,0.293,4
149,20181121,3,G9,Sample,,0.296,4
