"","coral.id","Sample.Date","Timepoint","homo.vol","Mass.g","Surface.Area"
"1","P1",20170703,"Pre-Treatment",18,0.051366667,11.4632710563235
"2","P10",20170703,"Pre-Treatment",12.5,0.028866667,6.50192394154985
"3","P11",20170703,"Pre-Treatment",25,0.0531,11.8454784642565
"4","P12",20170703,"Pre-Treatment",10,0.028133333,6.34022062932472
"5","P13",20170703,"Pre-Treatment",8,0.023266667,5.26709977076174
"6","P14",20170703,"Pre-Treatment",26,0.0465,10.3901499772562
"7","P15",20170703,"Pre-Treatment",16,0.034433333,7.72939782146134
"8","P16",20170703,"Pre-Treatment",11,0.0231,5.23034897789161
"9","P17",20170703,"Pre-Treatment",12.5,0.0306,6.88413134948283
"10","P18",20170703,"Pre-Treatment",20,0.0287,6.46517314867972
"11","P19",20170703,"Pre-Treatment",27,0.048433333,10.8164582484316
"12","P2",20170703,"Pre-Treatment",15,0.0641,14.2710259425903
"13","P20",20170703,"Pre-Treatment",16,0.0188,4.28218041817931
"14","P3",20170703,"Pre-Treatment",22.5,0.073066667,16.2482147181274
"15","P4",20170703,"Pre-Treatment",14,0.032033333,7.20018746255215
"16","P5",20170703,"Pre-Treatment",19,0.045833333,10.24314702628
"17","P6",20170703,"Pre-Treatment",30,0.0454,10.1475952294228
"18","P7",20170703,"Pre-Treatment",20,0.032933333,7.3986413471431
"19","P8",20170703,"Pre-Treatment",15,0.0221,5.00984466167945
"20","P9",20170703,"Pre-Treatment",16,0.0542,12.0880332120899
"21","R1",20170703,"Pre-Treatment",19,0.022833333,5.17154775340026
"22","R10",20170703,"Pre-Treatment",22,0.061366667,13.6683142184451
"23","R11",20170703,"Pre-Treatment",16,0.0562,12.5290418445142
"24","R12",20170703,"Pre-Treatment",9,0.017866667,4.07637646321607
"25","R13",20170703,"Pre-Treatment",12.5,0.027766667,6.25936919371647
"26","R14",20170703,"Pre-Treatment",17.5,0.0317,7.1266860973162
"27","R15",20170703,"Pre-Treatment",17.5,0.024966667,5.64195710832242
"28","R16",20170703,"Pre-Treatment",20,0.065966667,14.6826340730211
"29","R17",20170703,"Pre-Treatment",12,0.031266667,7.03113430045904
"30","R18",20170703,"Pre-Treatment",12.5,0.0215,4.87754207195215
"31","R19",20170703,"Pre-Treatment",20,0.068066667,15.1456931370666
"32","R2",20170703,"Pre-Treatment",17.5,0.0386,8.64816587918012
"33","R20",20170703,"Pre-Treatment",14,0.046,10.2798978191501
"34","R3",20170703,"Pre-Treatment",8,0.029066667,6.54602480479228
"35","R4",20170703,"Pre-Treatment",9,0.020966667,4.75993984347377
"36","R5",20170703,"Pre-Treatment",15,0.032833333,7.37659091552188
"37","R6",20170703,"Pre-Treatment",12,0.035,7.85435034081634
"38","R7",20170703,"Pre-Treatment",17,0.046966667,10.49305206499
"39","R8",20170703,"Pre-Treatment",17,0.030866667,6.94293257397417
"40","R9",20170703,"Pre-Treatment",14,0.031866667,7.16343689018634
"41","P1",20170731,"Post-Treatment",15.5,0.040566667,9.08182444123215
"42","P10",20170731,"Post-Treatment",13,0.031133333,7.00173357796121
"43","P11",20170731,"Post-Treatment",17,0.096766667,21.4741670123557
"44","P12",20170731,"Post-Treatment",19.5,0.060033333,13.3743083164927
"45","P13",20170731,"Post-Treatment",20,0.043266667,9.67718609500498
"46","P14",20170731,"Post-Treatment",14.5,0.0484,10.8091081780593
"47","P15",20170731,"Post-Treatment",24,0.068233333,15.1824437094324
"48","P16",20170731,"Post-Treatment",22,0.080466667,17.8799466580974
"49","P17",20170731,"Post-Treatment",17.5,0.044433333,9.93444098358296
"50","P18",20170731,"Post-Treatment",17.5,0.060733333,13.5286613378412
"51","P19",20170731,"Post-Treatment",13,0.057833333,12.8891988208259
"52","P2",20170731,"Post-Treatment",15,0.054966667,12.2570865946873
"53","P20",20170731,"Post-Treatment",15,0.038333333,8.58936465468877
"54","P3",20170731,"Post-Treatment",14,0.029066667,6.54602480479228
"55","P4",20170731,"Post-Treatment",16.5,0.0366,8.2071572467558
"56","P5",20170731,"Post-Treatment",37.5,0.103433333,22.9441956401005
"57","P6",20170731,"Post-Treatment",17.5,0.052,11.6029237164231
"58","P7",20170731,"Post-Treatment",22,0.056066667,12.4996413425207
"59","P8",20170731,"Post-Treatment",36,0.080533333,17.894646798842
"60","P9",20170731,"Post-Treatment",31,0.074433333,16.5495704699478
"61","R1",20170731,"Post-Treatment",24,0.0505,11.2721672421049
"62","R10",20170731,"Post-Treatment",20,0.045966667,10.2725477487778
