coral.id,Sample.Date,Timepoint,homo.vol,Mass.g
P1,20170703,Pre-Treatment,18,0.051366667
P10,20170703,Pre-Treatment,12.5,0.028866667
P11,20170703,Pre-Treatment,25,0.0531
P12,20170703,Pre-Treatment,10,0.028133333
P13,20170703,Pre-Treatment,8,0.023266667
P14,20170703,Pre-Treatment,26,0.0465
P15,20170703,Pre-Treatment,16,0.034433333
P16,20170703,Pre-Treatment,11,0.0231
P17,20170703,Pre-Treatment,12.5,0.0306
P18,20170703,Pre-Treatment,20,0.0287
P19,20170703,Pre-Treatment,27,0.048433333
P2,20170703,Pre-Treatment,15,0.0641
P20,20170703,Pre-Treatment,16,0.0188
P3,20170703,Pre-Treatment,22.5,0.073066667
P4,20170703,Pre-Treatment,14,0.032033333
P5,20170703,Pre-Treatment,19,0.045833333
P6,20170703,Pre-Treatment,30,0.0454
P7,20170703,Pre-Treatment,20,0.032933333
P8,20170703,Pre-Treatment,15,0.0221
P9,20170703,Pre-Treatment,16,0.0542
R1,20170703,Pre-Treatment,19,0.022833333
R10,20170703,Pre-Treatment,22,0.061366667
R11,20170703,Pre-Treatment,16,0.0562
R12,20170703,Pre-Treatment,9,0.017866667
R13,20170703,Pre-Treatment,12.5,0.027766667
R14,20170703,Pre-Treatment,17.5,0.0317
R15,20170703,Pre-Treatment,17.5,0.024966667
R16,20170703,Pre-Treatment,20,0.065966667
R17,20170703,Pre-Treatment,12,0.031266667
R18,20170703,Pre-Treatment,12.5,0.0215
R19,20170703,Pre-Treatment,20,0.068066667
R2,20170703,Pre-Treatment,17.5,0.0386
R20,20170703,Pre-Treatment,14,0.046
R3,20170703,Pre-Treatment,8,0.029066667
R4,20170703,Pre-Treatment,9,0.020966667
R5,20170703,Pre-Treatment,15,0.032833333
R6,20170703,Pre-Treatment,12,0.035
R7,20170703,Pre-Treatment,17,0.046966667
R8,20170703,Pre-Treatment,17,0.030866667
R9,20170703,Pre-Treatment,14,0.031866667
P1,20170731,Post-Treatment,15.5,0.040566667
P10,20170731,Post-Treatment,13,0.031133333
P11,20170731,Post-Treatment,17,0.096766667
P12,20170731,Post-Treatment,19.5,0.060033333
P13,20170731,Post-Treatment,20,0.043266667
P14,20170731,Post-Treatment,14.5,0.0484
P15,20170731,Post-Treatment,24,0.068233333
P16,20170731,Post-Treatment,22,0.080466667
P17,20170731,Post-Treatment,17.5,0.044433333
P18,20170731,Post-Treatment,17.5,0.060733333
P19,20170731,Post-Treatment,13,0.057833333
P2,20170731,Post-Treatment,15,0.054966667
P20,20170731,Post-Treatment,15,0.038333333
P3,20170731,Post-Treatment,14,0.029066667
P4,20170731,Post-Treatment,16.5,0.0366
P5,20170731,Post-Treatment,37.5,0.103433333
P6,20170731,Post-Treatment,17.5,0.052
P7,20170731,Post-Treatment,22,0.056066667
P8,20170731,Post-Treatment,36,0.080533333
P9,20170731,Post-Treatment,31,0.074433333
R1,20170731,Post-Treatment,24,0.0505
R10,20170731,Post-Treatment,20,0.045966667
R11,20170731,Post-Treatment,25,0.0729
R12,20170731,Post-Treatment,9,0.042366667
R13,20170731,Post-Treatment,18,0.0374
R14,20170731,Post-Treatment,18.5,0.055633333
R15,20170731,Post-Treatment,20,0.041733333
R16,20170731,Post-Treatment,14,0.044666667
R18,20170731,Post-Treatment,22,0.049
R19,20170731,Post-Treatment,18,0.061266667
R2,20170731,Post-Treatment,20,0.035066667
R20,20170731,Post-Treatment,17,0.053366667
R3,20170731,Post-Treatment,17,0.036766667
R4,20170731,Post-Treatment,23.5,0.072566667
R5,20170731,Post-Treatment,13,0.029966667
R6,20170731,Post-Treatment,22.5,0.087133333
R7,20170731,Post-Treatment,19,0.049633333
R8,20170731,Post-Treatment,12.5,0.044933333
R9,20170731,Post-Treatment,17.5,0.0518
R17,NA,Post-Treatment,NA,
