coral.id,Origin,Treatment,sa
P1,Patch,Ambient,185.015873
P2,Patch,Ambient,414.5396825
P3,Patch,Ambient,334.9365079
P4,Patch,Ambient,422.5555556
P5,Patch,Ambient,245.5714286
P6,Patch,Ambient,312.7936508
P7,Patch,Ambient,463.8253968
P8,Patch,Ambient,298.5079365
P9,Patch,Ambient,211.1269841
P10,Patch,Ambient,233.1904762
P11,Patch,Heated,635.8095238
P12,Patch,Heated,560.6507937
P13,Patch,Heated,298.5079365
P14,Patch,Heated,379.2222222
P15,Patch,Heated,664.1428571
P16,Patch,Heated,371.9206349
P17,Patch,Heated,248.3492063
P18,Patch,Heated,357.4761905
P19,Patch,Heated,437
P20,Patch,Heated,268.1904762
R1,Rim,Ambient,272.3174603
R2,Rim,Ambient,182.952381
R3,Rim,Ambient,222.3968254
R4,Rim,Ambient,453.1904762
R5,Rim,Ambient,252.7142857
R6,Rim,Ambient,176.2063492
R7,Rim,Ambient,396.5238095
R8,Rim,Ambient,203.984127
R9,Rim,Ambient,210.2539683
R10,Rim,Ambient,177.7142857
R11,Rim,Heated,358.031746
R12,Rim,Heated,173.1111111
R13,Rim,Heated,167.2380952
R14,Rim,Heated,270.6507937
R15,Rim,Heated,192.3968254
R16,Rim,Heated,190.8095238
R17,Rim,Heated,186.6825397
R18,Rim,Heated,188.2698413
R19,Rim,Heated,190.4920635
R20,Rim,Heated,246.3650794
