Tank,Date,Time,Temp
1,12-Jul-17,0:00:00,29.414
1,12-Jul-17,0:30:00,29.389
1,12-Jul-17,1:00:00,29.365
1,12-Jul-17,1:30:00,29.34
1,12-Jul-17,2:00:00,29.315
1,12-Jul-17,2:30:00,29.29
1,12-Jul-17,3:00:00,29.265
1,12-Jul-17,3:30:00,29.24
1,12-Jul-17,4:00:00,29.19
1,12-Jul-17,4:30:00,29.165
1,12-Jul-17,5:00:00,29.14
1,12-Jul-17,5:30:00,29.115
1,12-Jul-17,6:00:00,29.09
1,12-Jul-17,6:30:00,29.065
1,12-Jul-17,7:00:00,29.04
1,12-Jul-17,7:30:00,29.04
1,12-Jul-17,8:00:00,29.04
1,12-Jul-17,8:30:00,29.04
1,12-Jul-17,9:00:00,29.015
1,12-Jul-17,9:30:00,29.015
1,12-Jul-17,10:00:00,28.99
1,12-Jul-17,10:30:00,28.99
1,12-Jul-17,11:00:00,29.04
1,12-Jul-17,11:30:00,29.115
1,12-Jul-17,12:00:00,29.165
1,12-Jul-17,12:30:00,29.315
1,12-Jul-17,13:00:00,29.715
1,12-Jul-17,13:30:00,29.865
1,12-Jul-17,14:00:00,30.066
1,12-Jul-17,14:30:00,30.192
1,12-Jul-17,15:00:00,30.268
1,12-Jul-17,15:30:00,30.293
1,12-Jul-17,16:00:00,30.369
1,12-Jul-17,16:30:00,30.394
1,12-Jul-17,17:00:00,30.369
1,12-Jul-17,17:30:00,30.192
1,12-Jul-17,18:00:00,29.941
1,12-Jul-17,18:30:00,29.79
1,12-Jul-17,19:00:00,29.69
1,12-Jul-17,19:30:00,29.615
1,12-Jul-17,20:00:00,29.565
1,12-Jul-17,20:30:00,29.54
1,12-Jul-17,21:00:00,29.615
1,12-Jul-17,21:30:00,29.665
1,12-Jul-17,22:00:00,29.665
1,12-Jul-17,22:30:00,29.64
1,12-Jul-17,23:00:00,29.615
1,12-Jul-17,23:30:00,29.615
1,13-Jul-17,0:00:00,29.59
1,13-Jul-17,0:30:00,29.565
1,13-Jul-17,1:00:00,29.54
1,13-Jul-17,1:30:00,29.515
1,13-Jul-17,2:00:00,29.49
1,13-Jul-17,2:30:00,29.464
1,13-Jul-17,3:00:00,29.439
1,13-Jul-17,3:30:00,29.414
1,13-Jul-17,4:00:00,29.365
1,13-Jul-17,4:30:00,29.34
1,13-Jul-17,5:00:00,29.315
1,13-Jul-17,5:30:00,29.29
1,13-Jul-17,6:00:00,29.24
1,13-Jul-17,6:30:00,29.24
1,13-Jul-17,7:00:00,29.215
1,13-Jul-17,7:30:00,29.165
1,13-Jul-17,8:00:00,29.19
1,13-Jul-17,8:30:00,29.165
1,13-Jul-17,9:00:00,29.115
1,13-Jul-17,9:30:00,29.09
1,13-Jul-17,10:00:00,29.09
1,13-Jul-17,10:30:00,29.165
1,13-Jul-17,11:00:00,29.09
1,13-Jul-17,11:30:00,29.165
1,13-Jul-17,12:00:00,29.265
1,13-Jul-17,12:30:00,29.464
1,13-Jul-17,13:00:00,29.941
1,13-Jul-17,13:30:00,30.117
1,13-Jul-17,14:00:00,30.217
1,13-Jul-17,14:30:00,30.243
1,13-Jul-17,15:00:00,30.217
1,13-Jul-17,15:30:00,30.142
1,13-Jul-17,16:00:00,30.318
1,13-Jul-17,16:30:00,30.369
1,13-Jul-17,17:00:00,30.369
1,13-Jul-17,17:30:00,30.091
1,13-Jul-17,18:00:00,29.865
1,13-Jul-17,18:30:00,29.715
1,13-Jul-17,19:00:00,29.665
1,13-Jul-17,19:30:00,28.493
1,13-Jul-17,20:00:00,29.24
1,13-Jul-17,20:30:00,29.265
1,13-Jul-17,21:00:00,29.29
1,13-Jul-17,21:30:00,29.315
1,13-Jul-17,22:00:00,29.315
1,13-Jul-17,22:30:00,29.265
1,13-Jul-17,23:00:00,29.215
1,13-Jul-17,23:30:00,29.215
1,14-Jul-17,0:00:00,29.165
1,14-Jul-17,0:30:00,29.165
1,14-Jul-17,1:00:00,29.115
1,14-Jul-17,1:30:00,29.065
1,14-Jul-17,2:00:00,29.04
1,14-Jul-17,2:30:00,28.99
1,14-Jul-17,3:00:00,28.965
