Date,Time,Temp
28-Jun-17,11:00:00,28.221
28-Jun-17,11:05:00,28.245
28-Jun-17,11:10:00,28.295
28-Jun-17,11:15:00,28.32
28-Jun-17,11:20:00,28.369
28-Jun-17,11:25:00,28.32
28-Jun-17,11:30:00,28.27
28-Jun-17,11:35:00,28.295
28-Jun-17,11:40:00,28.27
28-Jun-17,11:45:00,28.221
28-Jun-17,11:50:00,28.196
28-Jun-17,11:55:00,28.221
28-Jun-17,12:00:00,28.196
28-Jun-17,12:05:00,28.196
28-Jun-17,12:10:00,28.171
28-Jun-17,12:15:00,28.171
28-Jun-17,12:20:00,28.196
28-Jun-17,12:25:00,28.171
28-Jun-17,12:30:00,28.221
28-Jun-17,12:35:00,28.221
28-Jun-17,12:40:00,28.196
28-Jun-17,12:45:00,28.196
28-Jun-17,12:50:00,28.32
28-Jun-17,12:55:00,28.221
28-Jun-17,13:00:00,28.221
28-Jun-17,13:05:00,28.32
28-Jun-17,13:10:00,28.369
28-Jun-17,13:15:00,28.468
28-Jun-17,13:20:00,28.369
28-Jun-17,13:25:00,28.518
28-Jun-17,13:30:00,28.617
28-Jun-17,13:35:00,28.642
28-Jun-17,13:40:00,28.692
28-Jun-17,13:45:00,28.766
28-Jun-17,13:50:00,28.791
28-Jun-17,13:55:00,28.766
28-Jun-17,14:00:00,28.791
28-Jun-17,14:05:00,28.891
28-Jun-17,14:10:00,28.941
28-Jun-17,14:15:00,28.941
28-Jun-17,14:20:00,28.916
28-Jun-17,14:25:00,28.891
28-Jun-17,14:30:00,28.916
28-Jun-17,14:35:00,28.941
28-Jun-17,14:40:00,28.965
28-Jun-17,14:45:00,28.965
28-Jun-17,14:50:00,28.941
28-Jun-17,14:55:00,28.965
28-Jun-17,15:00:00,28.965
28-Jun-17,15:05:00,28.965
28-Jun-17,15:10:00,28.965
28-Jun-17,15:15:00,28.965
28-Jun-17,15:20:00,28.965
28-Jun-17,15:25:00,28.965
28-Jun-17,15:30:00,28.965
28-Jun-17,15:35:00,28.941
28-Jun-17,15:40:00,28.916
28-Jun-17,15:45:00,28.916
28-Jun-17,15:50:00,28.916
28-Jun-17,15:55:00,28.916
28-Jun-17,16:00:00,28.891
28-Jun-17,16:05:00,28.891
28-Jun-17,16:10:00,28.891
28-Jun-17,16:15:00,28.891
28-Jun-17,16:20:00,28.891
28-Jun-17,16:25:00,28.916
28-Jun-17,16:30:00,28.891
28-Jun-17,16:35:00,28.891
28-Jun-17,16:40:00,28.891
28-Jun-17,16:45:00,28.916
28-Jun-17,16:50:00,28.916
28-Jun-17,16:55:00,28.916
28-Jun-17,17:00:00,28.941
28-Jun-17,17:05:00,28.941
28-Jun-17,17:10:00,28.916
28-Jun-17,17:15:00,28.941
28-Jun-17,17:20:00,28.941
28-Jun-17,17:25:00,28.941
28-Jun-17,17:30:00,28.941
28-Jun-17,17:35:00,28.941
28-Jun-17,17:40:00,28.941
28-Jun-17,17:45:00,28.916
28-Jun-17,17:50:00,28.916
28-Jun-17,17:55:00,28.916
28-Jun-17,18:00:00,28.916
28-Jun-17,18:05:00,28.891
28-Jun-17,18:10:00,28.891
28-Jun-17,18:15:00,28.866
28-Jun-17,18:20:00,28.866
28-Jun-17,18:25:00,28.841
28-Jun-17,18:30:00,28.816
28-Jun-17,18:35:00,28.816
28-Jun-17,18:40:00,28.816
28-Jun-17,18:45:00,28.791
28-Jun-17,18:50:00,28.791
28-Jun-17,18:55:00,28.766
