Date,Time,Temp
05-Jul-17,14:45:00,30.041
05-Jul-17,15:15:00,30.495
05-Jul-17,15:45:00,30.849
05-Jul-17,16:15:00,31.153
05-Jul-17,16:45:00,31.052
05-Jul-17,17:15:00,31.103
05-Jul-17,17:45:00,30.849
05-Jul-17,18:15:00,30.722
05-Jul-17,18:45:00,30.722
05-Jul-17,19:15:00,30.52
05-Jul-17,19:45:00,30.268
05-Jul-17,20:15:00,30.066
05-Jul-17,20:45:00,29.89
05-Jul-17,21:15:00,29.74
05-Jul-17,21:45:00,29.615
05-Jul-17,22:15:00,29.565
05-Jul-17,22:45:00,29.54
05-Jul-17,23:15:00,29.515
05-Jul-17,23:45:00,29.464
06-Jul-17,0:15:00,29.439
06-Jul-17,0:45:00,29.414
06-Jul-17,1:15:00,29.414
06-Jul-17,1:45:00,29.34
06-Jul-17,2:15:00,29.315
06-Jul-17,2:45:00,29.265
06-Jul-17,3:15:00,29.24
06-Jul-17,3:45:00,29.24
06-Jul-17,4:15:00,29.215
06-Jul-17,4:45:00,29.165
06-Jul-17,5:15:00,29.115
06-Jul-17,5:45:00,29.115
06-Jul-17,6:15:00,29.115
06-Jul-17,6:45:00,29.115
06-Jul-17,7:15:00,29.165
06-Jul-17,7:45:00,29.165
06-Jul-17,8:15:00,29.165
06-Jul-17,8:45:00,29.19
06-Jul-17,9:15:00,29.24
06-Jul-17,9:45:00,29.315
06-Jul-17,10:15:00,29.439
06-Jul-17,10:45:00,29.615
06-Jul-17,11:15:00,29.815
06-Jul-17,11:45:00,29.765
06-Jul-17,12:15:00,29.64
06-Jul-17,12:45:00,29.865
06-Jul-17,13:15:00,30.142
06-Jul-17,13:45:00,30.369
06-Jul-17,14:15:00,30.571
06-Jul-17,14:45:00,30.495
06-Jul-17,15:15:00,30.52
06-Jul-17,15:45:00,30.495
06-Jul-17,16:15:00,30.394
06-Jul-17,16:45:00,30.243
06-Jul-17,17:15:00,30.167
06-Jul-17,17:45:00,30.217
06-Jul-17,18:15:00,30.192
06-Jul-17,18:45:00,30.167
06-Jul-17,19:15:00,30.016
06-Jul-17,19:45:00,29.89
06-Jul-17,20:15:00,29.79
06-Jul-17,20:45:00,29.715
06-Jul-17,21:15:00,29.64
06-Jul-17,21:45:00,29.54
06-Jul-17,22:15:00,29.464
06-Jul-17,22:45:00,29.389
06-Jul-17,23:15:00,29.29
06-Jul-17,23:45:00,29.215
07-Jul-17,0:15:00,29.14
07-Jul-17,0:45:00,29.115
07-Jul-17,1:15:00,29.115
07-Jul-17,1:45:00,29.065
07-Jul-17,2:15:00,29.04
07-Jul-17,2:45:00,29.015
07-Jul-17,3:15:00,29.015
07-Jul-17,3:45:00,29.015
07-Jul-17,4:15:00,28.965
07-Jul-17,4:45:00,28.965
07-Jul-17,5:15:00,28.965
07-Jul-17,5:45:00,28.965
07-Jul-17,6:15:00,28.965
07-Jul-17,6:45:00,28.965
07-Jul-17,7:15:00,28.965
07-Jul-17,7:45:00,28.965
07-Jul-17,8:15:00,28.965
07-Jul-17,8:45:00,29.015
07-Jul-17,9:15:00,29.065
07-Jul-17,9:45:00,29.14
07-Jul-17,10:15:00,29.265
07-Jul-17,10:45:00,29.365
07-Jul-17,11:15:00,29.464
07-Jul-17,11:45:00,29.515
07-Jul-17,12:15:00,29.439
07-Jul-17,12:45:00,29.365
07-Jul-17,13:15:00,29.34
07-Jul-17,13:45:00,29.515
07-Jul-17,14:15:00,29.966
07-Jul-17,14:45:00,30.318
07-Jul-17,15:15:00,32.742
07-Jul-17,15:45:00,29.015
07-Jul-17,16:15:00,29.09
07-Jul-17,16:45:00,29.165
07-Jul-17,17:15:00,29.19
07-Jul-17,17:45:00,29.19
07-Jul-17,18:15:00,29.165
07-Jul-17,18:45:00,29.065
07-Jul-17,19:15:00,28.99
07-Jul-17,19:45:00,28.965
07-Jul-17,20:15:00,29.015
07-Jul-17,20:45:00,28.99
