Vial,Sample.date,Larval.Release.Date,coral.id,Timepoint,Treatment.Offspring,Sample.Type,Sample.Size
1,20170713,20170713,R3,T1,N/A,Larval DNA Methylation,20
2,20170713,20170713,R3,T1,N/A,Larval DNA Methylation,20
3,20170713,20170713,R3,T1,N/A,Larval DNA Methylation,20
4,20170713,20170713,P2,T1,N/A,Larval DNA Methylation,20
5,20170713,20170713,P2,T1,N/A,Larval DNA Methylation,20
6,20170713,20170713,P2,T1,N/A,Larval DNA Methylation,20
7,20170713,20170713,P5,T1,N/A,Larval DNA Methylation,20
8,20170713,20170713,P5,T1,N/A,Larval DNA Methylation,20
9,20170713,20170713,P5,T1,N/A,Larval DNA Methylation,20
10,20170713,20170713,P6,T1,N/A,Larval DNA Methylation,20
11,20170713,20170713,P6,T1,N/A,Larval DNA Methylation,20
12,20170713,20170713,P6,T1,N/A,Larval DNA Methylation,20
13,20170713,20170713,P11,T1,N/A,Larval DNA Methylation,20
14,20170713,20170713,P11,T1,N/A,Larval DNA Methylation,20
15,20170713,20170713,P11,T1,N/A,Larval DNA Methylation,20
16,20170713,20170713,P12,T1,N/A,Larval DNA Methylation,20
17,20170713,20170713,P12,T1,N/A,Larval DNA Methylation,20
18,20170713,20170713,P12,T1,N/A,Larval DNA Methylation,20
19,20170713,20170713,P14,T1,N/A,Larval DNA Methylation,20
20,20170713,20170713,P14,T1,N/A,Larval DNA Methylation,20
21,20170713,20170713,P14,T1,N/A,Larval DNA Methylation,20
22,20170713,20170713,P16,T1,N/A,Larval DNA Methylation,20
23,20170713,20170713,P16,T1,N/A,Larval DNA Methylation,20
24,20170713,20170713,P16,T1,N/A,Larval DNA Methylation,20
25,20170713,20170713,P17,T1,N/A,Larval DNA Methylation,20
26,20170713,20170713,P17,T1,N/A,Larval DNA Methylation,20
27,20170713,20170713,P17,T1,N/A,Larval DNA Methylation,20
28,20170713,20170713,P19,T1,N/A,Larval DNA Methylation,20
29,20170713,20170713,P19,T1,N/A,Larval DNA Methylation,20
30,20170713,20170713,P19,T1,N/A,Larval DNA Methylation,20
31,20170713,20170713,R3,T1,N/A,Larval Zoox,20
32,20170713,20170713,R3,T1,N/A,Larval Zoox,20
33,20170713,20170713,R3,T1,N/A,Larval Zoox,20
34,20170713,20170713,P2,T1,N/A,Larval Zoox,20
35,20170713,20170713,P2,T1,N/A,Larval Zoox,20
36,20170713,20170713,P2,T1,N/A,Larval Zoox,20
37,20170713,20170713,P5,T1,N/A,Larval Zoox,20
38,20170713,20170713,P5,T1,N/A,Larval Zoox,20
39,20170713,20170713,P5,T1,N/A,Larval Zoox,20
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,20170713,20170713,P11,T1,N/A,Larval Zoox,20
44,20170713,20170713,P11,T1,N/A,Larval Zoox,20
45,20170713,20170713,P11,T1,N/A,Larval Zoox,20
46,20170713,20170713,P12,T1,N/A,Larval Zoox,20
47,20170713,20170713,P12,T1,N/A,Larval Zoox,20
48,20170713,20170713,P12,T1,N/A,Larval Zoox,20
49,20170713,20170713,P14,T1,N/A,Larval Zoox,20
50,20170713,20170713,P14,T1,N/A,Larval Zoox,20
51,20170713,20170713,P14,T1,N/A,Larval Zoox,20
52,20170713,20170713,P16,T1,N/A,Larval Zoox,20
53,20170713,20170713,P16,T1,N/A,Larval Zoox,20
54,,,,,,,
55,20170713,20170713,P17,T1,N/A,Larval Zoox,20
56,20170713,20170713,P17,T1,N/A,Larval Zoox,20
57,20170713,20170713,P17,T1,N/A,Larval Zoox,20
58,20170713,20170713,P19,T1,N/A,Larval Zoox,20
59,20170713,20170713,P19,T1,N/A,Larval Zoox,20
60,20170713,20170713,P19,T1,N/A,Larval Zoox,20
61,20170713,20170713,R3,T1,N/A,Larval Protein,20
62,,,,,,,
63,,,,,,,
64,20170713,20170713,P2,T1,N/A,Larval Protein,20
65,20170713,20170713,P2,T1,N/A,Larval Protein,14
66,,,,,,,
67,20170713,20170713,P5,T1,N/A,Larval Protein,20
68,20170713,20170713,P5,T1,N/A,Larval Protein,20
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,20170713,20170713,P11,T1,N/A,Larval Protein,15
74,20170713,20170713,P11,T1,N/A,Larval Protein,15
75,20170713,20170713,P11,T1,N/A,Larval Protein,15
76,20170713,20170713,P12,T1,N/A,Larval Protein,15
77,20170713,20170713,P12,T1,N/A,Larval Protein,15
78,20170713,20170713,P12,T1,N/A,Larval Protein,15
79,20170713,20170713,P14,T1,N/A,Larval Protein,15
80,20170713,20170713,P14,T1,N/A,Larval Protein,15
81,20170713,20170713,P14,T1,N/A,Larval Protein,15
82,20170713,20170713,P16,T1,N/A,Larval Protein,15
83,20170713,20170713,P16,T1,N/A,Larval Protein,15
84,20170713,20170713,P16,T1,N/A,Larval Protein,15
85,20170713,20170713,P17,T1,N/A,Larval Protein,15
86,20170713,20170713,P17,T1,N/A,Larval Protein,15
87,20170713,20170713,P17,T1,N/A,Larval Protein,15
88,20170713,20170713,P19,T1,N/A,Larval Protein,15
89,20170713,20170713,P19,T1,N/A,Larval Protein,15
90,20170713,20170713,P19,T1,N/A,Larval Protein,15
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,20170714,20170714,R3,T1,N/A,Larval DNA Methylation,20
95,20170714,20170714,R3,T1,N/A,Larval DNA Methylation,20
96,20170714,20170714,R3,T1,N/A,Larval DNA Methylation,20
97,20170714,20170714,P1,T1,N/A,Larval DNA Methylation,20
98,20170714,20170714,P1,T1,N/A,Larval DNA Methylation,20
99,20170714,20170714,P1,T1,N/A,Larval DNA Methylation,20
100,20170714,20170714,P3,T1,N/A,Larval DNA Methylation,20
101,20170714,20170714,P3,T1,N/A,Larval DNA Methylation,20
