coral.id,sa
P1,185.015873
P2,414.5396825
P3,334.9365079
P4,422.5555556
P5,245.5714286
P6,312.7936508
P7,463.8253968
P8,298.5079365
P9,211.1269841
P10,233.1904762
P11,635.8095238
P12,560.6507937
P13,298.5079365
P14,379.2222222
P15,664.1428571
P16,371.9206349
P17,248.3492063
P18,357.4761905
P19,437
P20,268.1904762
R1,272.3174603
R2,182.952381
R3,222.3968254
R4,453.1904762
R5,252.7142857
R6,176.2063492
R7,396.5238095
R8,203.984127
R9,210.2539683
R10,177.7142857
R11,358.031746
R12,173.1111111
R13,167.2380952
R14,270.6507937
R15,192.3968254
R16,190.8095238
R17,186.6825397
R18,188.2698413
R19,190.4920635
R20,246.3650794
