"","coral.id","Origin","Treatment","Transplant.Site","N","Total.Protein.mgcm2","sd","se","ci"
"1","P-10-A","Patch","Ambient","Patch",9,1.43958782601985,0.114808105332072,0.0382693684440242,0.0882493218835715
"2","P-10-B","Patch","Ambient","Rim",9,0.720715492194211,0.082191572375158,0.0273971907917193,0.0631780352586822
"3","P-12-A","Patch","Hot","Patch",9,1.30871581401005,0.12997744538216,0.0433258151273866,0.0999095088448447
"4","P-12-B","Patch","Hot","Rim",9,1.73651343855059,0.148176827569517,0.0493922758565057,0.113898792372247
"5","P-14-A","Patch","Hot","Patch",9,1.37778461556507,0.152614219211064,0.050871406403688,0.117309673530556
"6","P-14-B","Patch","Hot","Rim",9,1.32554855462551,0.199036281991881,0.0663454273306271,0.152992829776313
"7","P-15-A","Patch","Hot","Patch",9,2.06523779795391,0.139860071502745,0.0466200238342484,0.107505967745094
"8","P-15-B","Patch","Hot","Rim",9,0.904639623932949,0.0650638303542129,0.0216879434514043,0.0500124872830125
"9","P-16-A","Patch","Hot","Patch",9,0.909682586015391,0.0608351071111979,0.020278369037066,0.0467620028546703
"10","P-16-B","Patch","Hot","Rim",9,1.32795289589753,0.0901154276760049,0.0300384758920016,0.0692688496221864
"11","P-19-A","Patch","Hot","Patch",9,1.88797546805539,0.105892337896967,0.0352974459656558,0.0813960563589478
"12","P-19-B","Patch","Hot","Rim",9,2.15010844076907,0.154502044787006,0.0515006815956688,0.118760784725445
"13","P-3-A","Patch","Ambient","Patch",9,1.16211195392392,0.0556339129742871,0.0185446376580957,0.0427640111254316
"14","P-3-B","Patch","Ambient","Rim",9,0.678196452795692,0.0172158570434697,0.00573861901448991,0.013233279177775
"15","P-4-A","Patch","Ambient","Patch",9,1.49368394660711,0.103534711845065,0.0345115706150216,0.0795838245506304
"16","P-4-B","Patch","Ambient","Rim",9,1.81339930894253,0.421649009115715,0.140549669705238,0.324108119541859
"17","P-6-A","Patch","Ambient","Patch",9,2.0228110139177,0.276690362047484,0.0922301206824948,0.212683039684212
"18","P-6-B","Patch","Ambient","Rim",9,1.49968850704725,0.154939767593698,0.0516465891978993,0.119097248259547
"19","P-9-A","Patch","Ambient","Patch",9,1.34193367459122,0.144513897300859,0.0481712991002862,0.111083214923417
"20","P-9-B","Patch","Ambient","Rim",9,0.752539675065099,0.094079077679659,0.0313596925598863,0.0723155807218292
"21","R-11-A","Rim","Hot","Patch",9,1.24739945410627,0.0756914662495408,0.0252304887498469,0.0581816113903692
"22","R-11-B","Rim","Hot","Rim",9,0.822045053496353,0.0566563869942173,0.0188854623314058,0.0435499542314642
"23","R-14-A","Rim","Hot","Patch",9,1.12072004672722,0.154454531671976,0.0514848438906588,0.1187242629122
"24","R-14-B","Rim","Hot","Rim",9,1.40685755481197,0.146824759888785,0.0489415866295951,0.112859501151299
"25","R-15-A","Rim","Hot","Patch",9,1.04277644444552,0.0879540890172714,0.0293180296724238,0.0676074976606477
"26","R-15-B","Rim","Hot","Rim",9,1.51904239989027,0.157640920735498,0.0525469735784993,0.121173538364483
"27","R-18-A","Rim","Hot","Patch",9,0.916910547183093,0.0763570298174412,0.0254523432724804,0.0586932088369757
"28","R-18-B","Rim","Hot","Rim",9,0.929115810564423,0.252247745742014,0.0840825819140048,0.193894781592338
"29","R-19-A","Rim","Hot","Patch",9,1.0302077237582,0.208755166788203,0.0695850555960677,0.160463425952944
"30","R-19-B","Rim","Hot","Rim",9,1.18147780898975,0.131297960316765,0.0437659867722549,0.100924546478111
"31","R-4-A","Rim","Ambient","Patch",9,1.62859155418638,0.0802288013942569,0.0267429337980856,0.0616693159258767
"32","R-4-B","Rim","Ambient","Rim",9,1.95333342153098,0.157603369177778,0.0525344563925927,0.121144673682022
"33","R-5-A","Rim","Ambient","Patch",9,0.739381752116025,0.142238130966765,0.0474127103222551,0.109333906064357
"34","R-5-B","Rim","Ambient","Rim",9,0.677927559139907,0.0805838967397428,0.0268612989132476,0.0619422663709042
"35","R-7-A","Rim","Ambient","Patch",9,1.32563120884231,0.125326752348573,0.0417755841161911,0.096334669722506
"36","R-7-B","Rim","Ambient","Rim",9,1.38102772463288,0.237473953424332,0.0791579844747772,0.182538639533263
"37","R-8-A","Rim","Ambient","Patch",9,0.977730717041978,0.0583679915950076,0.0194559971983359,0.0448656099938832
"38","R-8-B","Rim","Ambient","Rim",9,0.884444171847761,0.113750196768486,0.0379167322561619,0.0874361413761386
"39","R-9-A","Rim","Ambient","Patch",9,1.17952773312763,0.157277579522896,0.0524258598409654,0.1208942495849
"40","R-9-B","Rim","Ambient","Rim",9,0.376101732354785,0.0594212942453857,0.0198070980817952,0.0456752500830143
