Date,coral.id,Replicate,TUB_ID,Plug_1_num,Plug_2_num,Total_Larvae_in,Settlement_check_date,Tank,Treatment,Type,Sett_P1_TOT,Sett_P2_TOT,Sett_P1_TOP,Sett_P2_TOP
20180704,R-11-A,1,R-11-A #1,862,873,81,20180707,8,AMBIENT,EXTRA,9,9,1,2
20180706,R-11-A,1,R-11-A #1,897,907,100,20180709,8,AMBIENT,EXTRA,28,10,17,7
20180706,R-11-A,2,R-11-A #2,996,1022,80,20180709,8,AMBIENT,EXTRA,25,25,12,4
20180706,P-14-A,1,P-14-A #1,1026,853,100,20180709,8,AMBIENT,EXTRA,1,1,1,0
20180706,P-14-A,2,P-14-A #2,1008,975,100,20180709,8,AMBIENT,EXTRA,19,17,7,1
20180706,P-14-A,3,P-14-A #3,924,1035,80,20180709,8,AMBIENT,EXTRA,0,0,0,0
20180706,P-6-A,1,P-6-A #1,915,1030,100,20180709,8,AMBIENT,EXTRA,0,2,0,1
20180707,P-15-A,1,SET #1,697,624,100,20180710,Corral,AMBIENT,EXTRA,0,2,0,0
20180707,P-15-A,2,SET #2,807,806,100,20180710,Corral,AMBIENT,EXTRA,0,5,0,1
20180707,P-15-A,3,SET #3,783,831,84,20180710,Corral,AMBIENT,EXTRA,4,6,0,0
20180707,P-6-A,1,SET #4,1031,986,100,20180710,Corral,AMBIENT,EXTRA,20,4,13,2
20180707,P-12-A,1,SET #5,749,880,100,20180710,Corral,AMBIENT,EXTRA,1,18,0,1
20180707,P-6-A,2,SET #6,875,860,100,20180710,Corral,AMBIENT,EXTRA,4,12,2,1
20180707,P-12-A,2,SET #7,739,745,100,20180710,Corral,AMBIENT,EXTRA,1,7,0,0
20180707,P-6-A,3,SET #8,930,914,100,20180710,Corral,AMBIENT,EXTRA,12,10,2,1
20180707,P-12-A,3,SET #9,982,988,100,20180710,Corral,AMBIENT,EXTRA,2,10,0,0
20180707,P-6-A,4,SET #10,746,942,100,20180710,Corral,AMBIENT,EXTRA,1,6,0,1
20180707,P-6-A,5,SET #11,1014,1024,100,20180710,Corral,AMBIENT,EXTRA,15,7,2,1
20180707,P-12-A,4,SET #12,1023,976,100,20180710,Corral,AMBIENT,EXTRA,1,0,0,0
20180707,R-11-A,1,SET #13 ,753,733,100,20180710,Corral,AMBIENT,EXTRA,3,2,0,0
20180708,P-6-A,1,SET #14,928,993,100,20180711,Corral,AMBIENT,EXTRA,7,14,1,2
20180708,P-6-A,2,SET #15,868,990,85,20180711,Corral,AMBIENT,EXTRA,4,6,1,2
20180708,P-15-A,1,SET #16,741,998,100,20180711,Corral,AMBIENT,EXTRA,7,0,1,0
20180708,P-15-A,2,SET #17,1019,1000,50,20180711,Corral,AMBIENT,EXTRA,1,1,0,0
20180708,R-9-A,1,SET #18,751,1013,64,20180711,Corral,AMBIENT,EXTRA,6,9,1,4
20180709,P-15-A,1,SET #19,929,852,55,20180712,4,AMBIENT,TREATMENT,0,0,0,0
20180709,P-15-A,2,SET #20,874,633,55,20180712,4,AMBIENT,TREATMENT,4,1,0,0
20180709,P-15-A,3,SET #21,759,925,55,20180712,9,AMBIENT,TREATMENT,0,0,0,0
20180709,P-15-A,4,SET #22,916,980,55,20180712,9,AMBIENT,TREATMENT,2,12,0,8
20180709,P-15-A,5,SET #23,1007,700,55,20180712,10,AMBIENT,TREATMENT,7,0,5,0
20180709,P-15-A,6,SET #24,920,1029,55,20180712,10,AMBIENT,TREATMENT,3,0,2,0
20180709,P-15-A,7,SET #25,917,1020,55,20180712,6,HOT,TREATMENT,3,4,0,2
20180709,P-15-A,8,SET #26,861,738,55,20180712,6,HOT,TREATMENT,5,1,1,1
20180709,P-15-A,9,SET #27,865,737,55,20180712,11,HOT,TREATMENT,0,9,0,6
20180709,P-15-A,10,SET #28,859,684,55,20180712,11,HOT,TREATMENT,0,9,0,1
20180709,P-15-A,11,SET #29,856,750,55,20180712,12,HOT,TREATMENT,3,8,1,7
20180709,P-15-A,12,SET #30,683,757,55,20180712,12,HOT,TREATMENT,6,5,0,0
20180709,P-10-A,1,SET #31,933,879,100,20180712,Corral,AMBIENT,EXTRA,29,4,10,3
20180709,P-19-B,1,SET #32,1011,854,100,20180712,Corral,AMBIENT,EXTRA,0,17,0,14
20180709,P-14-B,1,SET #33,927,992,53,20180712,Corral,AMBIENT,EXTRA,11,2,10,0
20180709,P-19-A,1,SET #34,736,1028,100,20180712,Corral,AMBIENT,EXTRA,14,31,3,11
20180709,P-14-A,1,SET #35,994,987,100,20180712,Corral,AMBIENT,EXTRA,0,10,0,0
20180709,P-14-A,2,SET #36,754,870,100,20180712,Corral,AMBIENT,EXTRA,11,8,2,2
20180709,P-16-A,1,SET #37,932,935,66,20180712,Corral,AMBIENT,EXTRA,1,3,0,1
20180709,P-4-A,1,SET #38,857,913,69,20180712,Corral,AMBIENT,EXTRA,2,4,0,0
20180709,P-15-A,1,SET #39,981,941,98,20180712,Corral,AMBIENT,EXTRA,0,26,0,21
20180709,P-12-A,1,SET #40,740,748,100,20180712,Corral,AMBIENT,EXTRA,0,7,0,3
20180709,P-12-A,2,SET #41,1016,1006,100,20180712,Corral,AMBIENT,EXTRA,8,0,4,0
20180709,P-12-A,3,SET #42,734,939,100,20180712,Corral,AMBIENT,EXTRA,2,3,1,0
20180709,P-12-A,4,SET #43,641,919,100,20180712,Corral,AMBIENT,EXTRA,3,13,2,4
20180709,P-12-A,5,SET #44,989,934,100,20180712,Corral,AMBIENT,EXTRA,0,0,0,0
20180709,P-12-A,6,SET #45,1017,978,100,20180712,Corral,AMBIENT,EXTRA,5,6,5,0
20180710,P-12-A,1,SET #46,504,521,50,20180713,1,HOT,TREATMENT,0,4,0,0
20180710,P-12-A,2,SET #47,479,526,50,20180713,1,HOT,TREATMENT,6,0,0,0
20180710,P-12-A,3,SET #48,498,492,50,20180713,2,HOT,TREATMENT,3,1,0,0
20180710,P-12-A,4,SET #49,490,488,50,20180713,2,HOT,TREATMENT,3,10,1,0
20180710,P-12-A,5,SET #50,461,543,50,20180713,5,AMBIENT,TREATMENT,10,6,1,2
20180710,P-12-A,6,SET #51,501,528,50,20180713,5,AMBIENT,TREATMENT,3,10,1,0
20180710,P-12-A,7,SET #52,524,515,50,20180713,6,AMBIENT,TREATMENT,2,4,0,0
20180710,P-12-A,8,SET #53,534,480,50,20180713,6,AMBIENT,TREATMENT,3,9,0,0
20180710,P-12-A,9,SET #54,487,469,50,20180713,8,AMBIENT,TREATMENT,5,0,2,0
20180710,P-12-A,10,SET #55,506,467,50,20180713,8,AMBIENT,TREATMENT,9,5,3,1
20180710,P-12-A,11,SET #56,535,470,50,20180713,3,HOT,TREATMENT,1,5,0,2
20180710,P-12-A,12,SET #57,489,502,50,20180713,3,HOT,TREATMENT,4,0,1,0
20180710,P-16-A,1,SET #58,822,784,45,20180713,1,HOT,TREATMENT,12,3,6,2
20180710,P-16-A,2,SET #59,621,665,45,20180713,1,HOT,TREATMENT,1,2,0,0
20180710,P-16-A,3,SET #60,668,585,45,20180713,2,HOT,TREATMENT,2,6,2,6
20180710,P-16-A,4,SET #61,797,695,45,20180713,2,HOT,TREATMENT,7,1,1,1
20180710,P-16-A,5,SET #62,566,817,45,20180713,4,HOT,TREATMENT,0,5,0,3
20180710,P-16-A,6,SET #63,642,797,45,20180713,4,HOT,TREATMENT,2,2,0,2
20180710,P-16-A,7,SET #64,855,789,45,20180713,5,AMBIENT,TREATMENT,21,5,16,0
20180710,P-16-A,8,SET #65,876,661,45,20180713,5,AMBIENT,TREATMENT,6,1,1,1
20180710,P-16-A,9,SET #66,660,596,45,20180713,6,AMBIENT,TREATMENT,5,6,1,2
20180710,P-16-A,10,SET #67,787,607,45,20180713,6,AMBIENT,TREATMENT,0,5,0,4
20180710,P-16-A,11,SET #68,777,584,45,20180713,8,AMBIENT,TREATMENT,8,5,6,3
20180710,P-16-A,12,SET #69,848,814,45,20180713,8,AMBIENT,TREATMENT,1,19,1,0
20180710,P-10-A,1,SET #70,977,647,92,20180713,Corral,AMBIENT,EXTRA,0,63,0,53
20180710,P-14-A,1,SET #71,758,967,72,20180713,Corral,AMBIENT,EXTRA,0,8,0,0
20180710,P-14-B,1,SET #72,1034,1005,56,20180713,Corral,AMBIENT,EXTRA,0,7,0,6
