,Type,coral.id,Weight,Surface_Area
1,Coral,R-7-B,0.683,161.6710217
2,Coral,P-14-B,0.875,206.850045
3,Coral,P-15-B,0.945,223.3215639
4,Coral,P-14-A,0.884,208.9678117
5,Coral,P-15-A,1.061,250.6172239
6,Coral,P-12-A,1.287,303.7966992
7,Coral,R-15-A,0.628,148.7291139
8,Coral,P-4-A,1.002,236.7340865
9,Coral,P-10-B,0.368,87.54918652
10,Coral,R-11-B,0.663,156.9648734
11,Coral,R-5-B,0.454,107.7856241
12,Coral,P-10-A,0.654,154.8471067
13,Coral,R-8-A,0.383,91.07879772
14,Coral,R-19-B,0.281,67.07744157
15,Coral,P-3-B,0.589,139.5521248
16,Coral,P-6-B,0.49,116.2566909
17,Coral,P-4-B,0.717,169.6714737
18,Coral,R-9-B,0.375,89.19633841
19,Coral,P-19-A,1.356,320.0329107
20,Coral,P-6-A,0.678,160.4944846
21,Coral,R-4-A,0.913,215.7917267
22,Coral,R-11-A,0.86,203.3204338
23,Coral,R-14-A,0.695,164.4947106
24,Coral,P-3-A,0.652,154.3764919
25,Coral,P-16-A,0.757,179.0837702
26,Coral,P-12-B,0.913,215.7917267
27,Coral,R-19-A,0.426,101.1970165
28,Coral,R-4-B,0.516,122.3746837
29,Coral,P-9-B,0.612,144.9641953
30,Coral,R-14-B,0.682,161.4357143
31,Coral,P-9-A,0.489,116.0213835
32,Coral,R-18-A,0.373,88.72572358
33,Coral,R-15-B,0.454,107.7856241
34,Coral,R-7-A,0.816,192.9669076
35,Coral,R-9-A,0.445,105.6678573
36,Coral,P-16-B,0.434,103.0794758
37,Coral,R-8-B,0.535,126.8455245
38,Coral,R-18-B,0.411,97.66740528
39,Coral,R-5-A,0.387,92.02002737
40,Coral,P-19-B,0.477,113.1976946
41,Blank,BLANK-EXP-1,NA,NA
42,Blank,BLANK-EXP-2,NA,NA
43,Blank,BLANK-EXP-3,NA,NA
44,Blank,BLANK-EXP-4,NA,NA
45,Blank,BLANK-EXP-5,NA,NA
