"","Fragment.ID","X.x","Intercept","umol.L.sec","V4","V5","Date","Tank","Position","RUN","Origin","Treatment","Transplant.Site","Timepoint","Height","Surf.Area.cm2","Vol.L","X.y","Type","Weight","Surface_Area","umol.sec","Blank","umol.sec.corr","umol.cm2.hr"
"6","P-10-A",11,219.680699859023,0.000718731702042717,NA,"Photo",20180701,3,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,12,"Coral",0.654,154.8471067,0.0139862898260213,-0.00359664769099569,0.0175829375170169,0.408781128754929
"7","P-10-B",13,231.548956956187,0.00113913843784998,NA,"Photo",20180701,7,NA,NA,"Patch","Ambient","Rim","Post-transplant",9.5,NA,19.45968125,9,"Coral",0.368,87.54918652,0.0221672709001836,-0.00359664769099569,0.0257639185911792,1.0594056965573
"8","P-12-A",15,220.34860916187,0.00139888091356715,NA,"Photo",20180701,3,NA,NA,"Patch","Hot","Patch","Post-transplant",9,NA,18.4354875,6,"Coral",1.287,303.7966992,0.0257890515960558,-0.00359664769099569,0.0293856992870515,0.348221418178546
"9","P-12-B",17,229.462334651443,0.00228137747604767,NA,"Photo",20180701,8,NA,NA,"Patch","Hot","Rim","Post-transplant",9.25,NA,18.947584375,26,"Coral",0.913,215.7917267,0.0432265922186378,-0.00359664769099569,0.0468232399096335,0.781140529585838
"10","P-14-A",19,233.482896294702,0.00140306395956782,NA,"Photo",20180701,9,NA,NA,"Patch","Hot","Patch","Post-transplant",9.5,NA,19.45968125,4,"Coral",0.884,208.9678117,0.0273031774265527,-0.00359664769099569,0.0308998251175484,0.532327775834072
"11","P-14-B",21,234.144952545101,0.0018917989984912,NA,"Photo",20180701,2,NA,NA,"Patch","Hot","Rim","Post-transplant",9.4375,NA,19.33165703125,2,"Coral",0.875,206.850045,0.0365716094108941,-0.00359664769099569,0.0401682571018898,0.699084815605447
"12","P-15-A",23,217.540683519978,0.001225068346125,NA,"Photo",20180701,6,NA,NA,"Patch","Hot","Patch","Post-transplant",9.3125,NA,19.07560859375,5,"Coral",1.061,250.6172239,0.0233689242712731,-0.00359664769099569,0.0269655719622688,0.387347914694413
"13","P-15-B",25,226.359484924967,0.00161513193834748,NA,"Photo",20180701,4,NA,NA,"Patch","Hot","Rim","Post-transplant",9.375,NA,19.2036328125,3,"Coral",0.945,223.3215639,0.0310164006877664,-0.00359664769099569,0.0346130483787621,0.557971079852103
"14","P-16-A",27,220.699923586796,0.000562893549692126,NA,"Photo",20180701,3,NA,NA,"Patch","Hot","Patch","Post-transplant",9.375,NA,19.2036328125,25,"Coral",0.757,179.0837702,0.0108096010408123,-0.00359664769099569,0.014406248731808,0.289599081907808
"15","P-16-B",29,235.385424517752,0.00147590461582634,NA,"Photo",20180701,7,NA,NA,"Patch","Hot","Rim","Post-transplant",9.5,NA,19.45968125,36,"Coral",0.434,103.0794758,0.0287206333793843,-0.00359664769099569,0.03231728107038,1.1286651484249
