"","Fragment.ID","Intercept","umol.L.sec","V4","V5","Date","Tank","Position","RUN","Origin","Treatment","Transplant.Site","Timepoint","Height","Surf.Area.cm2","Vol.L","umol.sec","Blank","umol.sec.corr","umol.cm2.hr"
"6","P-10-A",222.035046415129,-0.00156720585807007,NA,"Resp",20180701,3,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,-0.0304973264511763,-0.0010509260387647,-0.0294464004124116,NA
"7","P-10-B",235.536115321472,-0.00100057574936131,NA,"Resp",20180701,7,NA,NA,"Patch ","Ambient","Rim","Post-transplant",9.5,NA,19.45968125,-0.019470885149051,-0.0010509260387647,-0.0184199591102863,NA
"8","P-12-A",226.181805551049,-0.00392149935763405,NA,"Resp",20180701,3,NA,NA,"Patch","Hot","Patch","Post-transplant",9,NA,18.4354875,-0.0722947523889205,-0.0010509260387647,-0.0712438263501558,NA
"9","P-12-B",237.396854482913,-0.00197575155997069,NA,"Resp",20180701,8,NA,NA,"Patch ","Hot","Rim","Post-transplant",9.25,NA,18.947584375,-0.0374357193865825,-0.0010509260387647,-0.0363847933478178,NA
"10","P-14-A",238.173237768809,-0.0025096197754532,NA,"Resp",20180701,9,NA,NA,"Patch","Hot","Patch","Post-transplant",9.5,NA,19.45968125,-0.0488364008890159,-0.0010509260387647,-0.0477854748502512,NA
"11","P-14-B",240.958451466877,-0.0020839200629426,NA,"Resp",20180701,2,NA,NA,"Patch ","Hot","Rim","Post-transplant",9.4375,NA,19.33165703125,-0.0402856279373472,-0.0010509260387647,-0.0392347018985825,NA
"12","P-15-A",221.760223518629,-0.00287908748566013,NA,"Resp",20180701,6,NA,NA,"Patch","Hot","Patch","Post-transplant",9.3125,NA,19.07560859375,-0.0549203459836164,-0.0010509260387647,-0.0538694199448517,NA
"13","P-15-B",232.378182262854,-0.0027403599914542,NA,"Resp",20180701,4,NA,NA,"Patch ","Hot","Rim","Post-transplant",9.375,NA,19.2036328125,-0.052624867049952,-0.0010509260387647,-0.0515739410111873,NA
"14","P-16-A",222.538235373994,-0.00257161057692307,NA,"Resp",20180701,3,NA,NA,"Patch","Hot","Patch","Post-transplant",9.375,NA,19.2036328125,-0.049384265255972,-0.0010509260387647,-0.0483333392172073,NA
"15","P-16-B",240.551389541985,-0.00180293012331182,NA,"Resp",20180701,7,NA,NA,"Patch ","Hot","Rim","Post-transplant",9.5,NA,19.45968125,-0.0350844455156713,-0.0010509260387647,-0.0340335194769066,NA
"16","P-19-A",210.853574378348,-0.00293865112849326,NA,"Resp",20180701,10,NA,NA,"Patch","Hot","Patch","Post-transplant",9.25,NA,18.947584375,-0.0556803402058151,-0.0010509260387647,-0.0546294141670503,NA
"17","P-19-B",229.905233560065,-0.001817552745497,NA,"Resp",20180701,1,NA,NA,"Patch ","Hot","Rim","Post-transplant",9.3125,NA,19.07560859375,-0.0346709247715964,-0.0010509260387647,-0.0336199987328317,NA
"18","P-3-A",231.054780443862,-0.00151662195563056,NA,"Resp",20180701,4,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.4375,NA,19.33165703125,-0.0293188154923136,-0.0010509260387647,-0.0282678894535489,NA
"19","P-3-B",200.820679760938,-0.00122872041240628,NA,"Resp",20180701,5,NA,NA,"Patch ","Ambient","Rim","Post-transplant",9.4375,NA,19.33165703125,-0.0237532015999343,-0.0010509260387647,-0.0227022755611696,NA
"20","P-4-A",204.773017810957,-0.00162809921962097,NA,"Resp",20180701,5,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,-0.0316822918571979,-0.0010509260387647,-0.0306313658184332,NA
"21","P-4-B",217.785056154267,-0.00160457397898257,NA,"Resp",20180701,6,NA,NA,"Patch ","Ambient","Rim","Post-transplant",9.5,NA,19.45968125,-0.031224498173045,-0.0010509260387647,-0.0301735721342803,NA
"22","P-6-A",229.080530673945,-0.00213549843396423,NA,"Resp",20180630,6,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.4,NA,19.2548425,-0.0411186860049779,-0.0010509260387647,-0.0400677599662132,NA
"23","P-6-B",253.485619765504,-0.00197172223316587,NA,"Resp",20180630,2,NA,NA,"Patch ","Ambient","Rim","Post-transplant",9.5,NA,19.45968125,-0.038369086170946,-0.0010509260387647,-0.0373181601321813,NA
"24","P-9-A",248.447238728903,-0.00117575395729117,NA,"Resp",20180630,7,NA,NA,"Patch","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,-0.0228797972373123,-0.0010509260387647,-0.0218288711985476,NA
"25","P-9-B",213.761973120261,-0.0010375425358244,NA,"Resp",20180701,10,NA,NA,"Patch ","Ambient","Rim","Post-transplant",9.5,NA,19.45968125,-0.0201902470304596,-0.0010509260387647,-0.0191393209916949,NA
"26","R-11-A",225.818239871287,-0.00273135643564358,NA,"Resp",20180630,10,NA,NA,"Rim","Hot","Patch","Post-transplant",9.4375,NA,19.33165703125,-0.0528016458439591,-0.0010509260387647,-0.0517507198051944,NA
"27","R-11-B",247.974899829494,-0.00208495555958646,NA,"Resp",20180630,4,NA,NA,"Rim","Hot","Rim","Post-transplant",9.4375,NA,19.33165703125,-0.0403056458033234,-0.0010509260387647,-0.0392547197645587,NA
"28","R-14-A",237.767375725279,-0.00239881219492993,NA,"Resp",20180701,1,NA,NA,"Rim","Hot","Patch","Post-transplant",9.25,NA,18.947584375,-0.0454516964632138,-0.0010509260387647,-0.0444007704244491,NA
"29","R-14-B",234.627022866978,-0.00189539701961359,NA,"Resp",20180701,4,NA,NA,"Rim","Hot","Rim","Post-transplant",9.375,NA,19.2036328125,-0.0363985083985663,-0.0010509260387647,-0.0353475823598016,NA
"30","R-15-A",230.392682605803,-0.00171385237903919,NA,"Resp",20180701,1,NA,NA,"Rim","Hot","Patch","Post-transplant",9.4375,NA,19.33165703125,-0.0331316063937776,-0.0010509260387647,-0.0320806803550129,NA
"31","R-15-B",216.776685348731,-0.00163325839636056,NA,"Resp",20180701,10,NA,NA,"Rim","Hot","Rim","Post-transplant",9.375,NA,19.2036328125,-0.0313644945316408,-0.0010509260387647,-0.0303135684928761,NA
"32","R-18-A",235.569029748647,-0.00115527745728691,NA,"Resp",20180701,8,NA,NA,"Rim","Hot","Patch","Post-transplant",9.5625,NA,19.58770546875,-0.0226292345680224,-0.0010509260387647,-0.0215783085292577,NA
"33","R-18-B",237.500957184227,-0.00183158917803874,NA,"Resp",20180701,2,NA,NA,"Rim","Hot","Rim","Post-transplant",9.4375,NA,19.33165703125,-0.035407653811994,-0.0010509260387647,-0.0343567277732293,NA
"34","R-19-A",201.343160662277,-0.00143416893969731,NA,"Resp",20180701,5,NA,NA,"Rim","Hot","Patch","Post-transplant",9.5,NA,19.45968125,-0.0279084704251601,-0.0010509260387647,-0.0268575443863954,NA
"35","R-19-B",234.168746141632,-0.00130591166104238,NA,"Resp",20180701,7,NA,NA,"Rim","Hot","Rim","Post-transplant",9.5625,NA,19.58770546875,-0.0255798129847043,-0.0010509260387647,-0.0245288869459396,NA
"36","R-4-A",241.527558629918,-0.00228567706487061,NA,"Resp",20180701,8,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.375,NA,19.2036328125,-0.043893303081728,-0.0010509260387647,-0.0428423770429633,NA
"37","R-4-B",240.806939805496,-0.00105001155926821,NA,"Resp",20180701,2,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.5625,NA,19.58770546875,-0.0205673171617285,-0.0010509260387647,-0.0195163911229638,NA
"38","R-5-A",205.627331303944,-0.000941288822322005,NA,"Resp",20180701,10,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.5,NA,19.45968125,-0.0183171804465741,-0.0010509260387647,-0.0172662544078094,NA
"39","R-5-B",232.422095815455,-0.0018316841043124,NA,"Resp",20180701,2,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.4375,NA,19.33165703125,-0.0354094888941596,-0.0010509260387647,-0.0343585628553949,NA
"40","R-7-A",236.884160396462,-0.00231883689591557,NA,"Resp",20180701,9,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.4375,NA,19.33165703125,-0.0448269595832481,-0.0010509260387647,-0.0437760335444834,NA
"41","R-7-B",228.019585476093,-0.00187915797492091,NA,"Resp",20180701,3,NA,NA,"Rim","Ambient ","Rim","Post-transplant",9.4375,NA,19.33165703125,-0.0363272374787094,-0.0010509260387647,-0.0352763114399447,NA
"42","R-8-A",225.988095061346,-0.00182887103520393,NA,"Resp",20180630,1,NA,NA,"Rim","Ambient","Patch","Post-transplant",9.4,NA,19.2548425,-0.0352146237356637,-0.0010509260387647,-0.034163697696899,NA
