Analysis of Variance Table

Response: chla.cell
                                       Df Sum Sq Mean Sq F value  Pr(>F)  
Origin.x                                1  0.189  0.1886  0.0637 0.80234  
Treatment.x                             1  1.214  1.2136  0.4099 0.52656  
Transplant.Site.x                       1  3.719  3.7194  1.2564 0.27067  
Origin.x:Treatment.x                    1  0.003  0.0031  0.0010 0.97450  
Origin.x:Transplant.Site.x              1 18.110 18.1104  6.1177 0.01888 *
Treatment.x:Transplant.Site.x           1  0.369  0.3691  0.1247 0.72634  
Origin.x:Treatment.x:Transplant.Site.x  1  2.019  2.0185  0.6819 0.41506  
Residuals                              32 94.730  2.9603                  
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
