Analysis of Variance Table

Response: Cells.cm2.x6
                                 Df Sum Sq Mean Sq F value  Pr(>F)  
Origin                            1 0.0594 0.05942  0.4080 0.52753  
Treatment                         1 0.0028 0.00277  0.0190 0.89111  
Transplant.Site                   1 0.0412 0.04116  0.2826 0.59867  
Origin:Treatment                  1 0.2187 0.21865  1.5013 0.22942  
Origin:Transplant.Site            1 0.8635 0.86346  5.9286 0.02065 *
Treatment:Transplant.Site         1 0.0153 0.01526  0.1048 0.74824  
Origin:Treatment:Transplant.Site  1 0.0609 0.06092  0.4183 0.52242  
Residuals                        32 4.6606 0.14564                  
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
