Analysis,of,Deviance,Table,(Type,II,Wald,chisquare,tests),,,,,
,,,,,,,,,,,,,
Response:,Chla.ng.mm3,,,,,,,,,,,,
,Chisq,Df,Pr(>Chisq),,,,,,,,,,
Origin,0.7691,1,0.3805,,,,,,,,,,
Treatment,5.6766,1,0.01719,*,,,,,,,,,
Transplant.Site,16.9064,1,3.93E-05,***,,,,,,,,,
Origin:Treatment,1.947,1,0.16291,,,,,,,,,,
Origin:Transplant.Site,0.4753,1,0.49055,,,,,,,,,,
Treatment:Transplant.Site,3.1012,1,0.07823,.,,,,,,,,,
Origin:Treatment:Transplant.Site,0.0699,1,0.79146,,,,,,,,,,
---,,,,,,,,,,,,,
Signif.,codes:,0,‘***’,0.001,‘**’,0.01,‘*’,0.05,‘.’,0.1,‘,’,1
