$lsmeans
 Origin Treatment.y Transplant.Site lsmean    SE   df lower.CL upper.CL
 Patch  Ambient     Patch             1.73 0.239 27.6     1.24     2.22
 Rim    Ambient     Patch             2.04 0.292 49.1     1.46     2.63
 Patch  Hot         Patch             1.62 0.217 19.1     1.17     2.08
 Rim    Hot         Patch             1.63 0.238 28.8     1.15     2.12
 Patch  Ambient     Rim               2.13 0.435 82.6     1.26     2.99
 Rim    Ambient     Rim               2.20 0.367 74.1     1.47     2.93
 Patch  Hot         Rim               1.62 0.259 34.8     1.09     2.14
 Rim    Hot         Rim               2.29 0.313 57.3     1.66     2.92

Degrees-of-freedom method: kenward-roger 
Confidence level used: 0.95 

$contrasts
 contrast                                estimate    SE   df t.ratio p.value
 Patch,Ambient,Patch - Rim,Ambient,Patch -0.31588 0.271 73.9 -1.167  0.9388 
 Patch,Ambient,Patch - Patch,Hot,Patch    0.10399 0.183 72.8  0.569  0.9991 
 Patch,Ambient,Patch - Rim,Hot,Patch      0.09236 0.229 78.3  0.403  0.9999 
 Patch,Ambient,Patch - Patch,Ambient,Rim -0.39891 0.427 74.1 -0.934  0.9816 
 Patch,Ambient,Patch - Rim,Ambient,Rim   -0.46928 0.350 73.2 -1.342  0.8796 
 Patch,Ambient,Patch - Patch,Hot,Rim      0.10968 0.232 73.9  0.473  0.9997 
 Patch,Ambient,Patch - Rim,Hot,Rim       -0.56332 0.298 74.4 -1.893  0.5603 
 Rim,Ambient,Patch - Patch,Hot,Patch      0.41987 0.249 73.3  1.687  0.6955 
 Rim,Ambient,Patch - Rim,Hot,Patch        0.40824 0.294 79.1  1.389  0.8595 
 Rim,Ambient,Patch - Patch,Ambient,Rim   -0.08303 0.462 74.5 -0.180  1.0000 
 Rim,Ambient,Patch - Rim,Ambient,Rim     -0.15339 0.390 73.8 -0.393  0.9999 
 Rim,Ambient,Patch - Patch,Hot,Rim        0.42556 0.284 73.2  1.497  0.8065 
 Rim,Ambient,Patch - Rim,Hot,Rim         -0.24743 0.342 74.8 -0.724  0.9960 
 Patch,Hot,Patch - Rim,Hot,Patch         -0.01163 0.212 81.1 -0.055  1.0000 
 Patch,Hot,Patch - Patch,Ambient,Rim     -0.50290 0.409 73.8 -1.230  0.9203 
 Patch,Hot,Patch - Rim,Ambient,Rim       -0.57326 0.334 73.2 -1.717  0.6765 
 Patch,Hot,Patch - Patch,Hot,Rim          0.00569 0.204 73.2  0.028  1.0000 
 Patch,Hot,Patch - Rim,Hot,Rim           -0.66731 0.276 74.3 -2.419  0.2479 
 Rim,Hot,Patch - Patch,Ambient,Rim       -0.49127 0.428 75.2 -1.147  0.9439 
 Rim,Hot,Patch - Rim,Ambient,Rim         -0.56163 0.357 75.2 -1.571  0.7657 
 Rim,Hot,Patch - Patch,Hot,Rim            0.01732 0.259 80.0  0.067  1.0000 
 Rim,Hot,Patch - Rim,Hot,Rim             -0.65567 0.303 76.8 -2.165  0.3843 
 Patch,Ambient,Rim - Rim,Ambient,Rim     -0.07036 0.494 72.5 -0.143  1.0000 
 Patch,Ambient,Rim - Patch,Hot,Rim        0.50859 0.428 73.6  1.189  0.9326 
 Patch,Ambient,Rim - Rim,Hot,Rim         -0.16441 0.445 72.1 -0.370  1.0000 
 Rim,Ambient,Rim - Patch,Hot,Rim          0.57896 0.361 73.2  1.605  0.7455 
 Rim,Ambient,Rim - Rim,Hot,Rim           -0.09404 0.390 72.2 -0.241  1.0000 
 Patch,Hot,Rim - Rim,Hot,Rim             -0.67300 0.304 74.0 -2.212  0.3571 

P value adjustment: tukey method for comparing a family of 8 estimates 

