 Origin Treatment Transplant.Site lsmean      SE   df lower.CL upper.CL .group
 Patch  Hot       Rim              0.190 0.00752 1891    0.175    0.204  a    
 Patch  Ambient   Rim              0.192 0.01020 1891    0.172    0.212  a    
 Patch  Ambient   Patch            0.194 0.00702 1891    0.180    0.208  a    
 Patch  Hot       Patch            0.199 0.00604 1891    0.187    0.210  a    
 Rim    Ambient   Patch            0.267 0.00717 1891    0.253    0.281   b   
 Rim    Hot       Rim              0.292 0.00889 1891    0.274    0.309   bc  
 Rim    Ambient   Rim              0.293 0.00915 1891    0.275    0.311   bc  
 Rim    Hot       Patch            0.320 0.00811 1891    0.304    0.336    c  

Confidence level used: 0.95 
P value adjustment: tukey method for comparing a family of 8 estimates 
significance level used: alpha = 0.05 
