Analysis of Variance Table

Response: Conc.calcS.mg.mm3
                                   Df Sum Sq Mean Sq F value  Pr(>F)  
Origin                              1  0.097 0.09669  0.1894 0.66481  
Treatment.y                         1  1.210 1.20997  2.3700 0.12833  
Transplant.Site                     1  1.661 1.66114  3.2537 0.07569 .
Origin:Treatment.y                  1  0.861 0.86144  1.6873 0.19834  
Origin:Transplant.Site              1  0.734 0.73411  1.4379 0.23464  
Treatment.y:Transplant.Site         1  0.294 0.29434  0.5765 0.45030  
Origin:Treatment.y:Transplant.Site  1  1.153 1.15335  2.2591 0.13746  
Residuals                          68 34.717 0.51054                  
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
